#{"t_start": 1766245149.8307407, "env_id": "None"}
r,l,t
-37.608,189,2.638792
-18.283,180,3.77566
-13.577,172,4.778997
-21.118,197,5.973021
-26.964,195,7.373346
-14.96,157,8.819083
-17.308,170,10.317998
-28.264,200,11.697248
-19.633,188,12.924089
-29.545,156,13.91684
-60.871,212,15.271337
-54.365,181,127.974743
-9.415,187,129.143733
-15.865,173,130.198866
-8.557,197,131.459972
-17.6,182,132.691308
-11.586,172,133.81084
-25.34,187,135.022425
-52.887,209,136.461884
-35.1,201,137.685387
-60.14,215,139.058378
-22.723,184,224.666459
-19.181,163,316.198701
-13.242,196,517.16674
-32.92,177,691.708471
-45.601,182,879.198364
-16.029,236,1122.658629
-13.008,189,1318.782795
-26.959,177,1490.760753
-28.932,176,1669.487156
-24.597,180,1852.10726
-44.19,194,2049.606899
-29.353,191,2315.730782
-18.949,186,2504.202698
-26.114,192,2702.678754
-10.649,188,2893.514655
-23.248,241,3128.44123
-23.181,179,3310.54284
-31.053,178,3486.826769
-21.676,203,3684.55484
-38.328,202,3882.855541
-11.927,217,4096.705669
-20.322,166,4266.327027
-31.787,181,4532.527025
-25.733,224,4773.510099
-11.599,189,4969.990666
-12.577,192,5164.158922
-25.648,177,5347.943314
-45.144,196,5536.427823
-5.956,183,5720.010795
-37.194,202,5926.232845
4.755,180,6106.635015
-25.125,186,6298.805307
-4.296,157,6454.035092
-25.53,205,6738.80478
-17.867,178,6925.443913
-24.085,165,7092.206879
-11.019,189,7282.718299
-16.11,183,7465.130788
-35.698,197,7654.851233
-9.431,209,7866.686765
-23.23,202,8066.546797
-19.752,162,8238.711023
-1.328,188,8433.298755
-20.558,160,8590.776342
-20.2,221,8895.634773
-36.746,181,9085.71298
-15.09,175,9269.115433
-34.564,198,9463.819286
-8.48,159,9616.830565
-48.352,205,9823.743443
2.47,207,10030.202767
-52.107,206,10242.11341
-42.443,220,10462.158769
-27.552,206,10667.705027
-5.131,182,10922.371343
-0.498,166,11088.553056
-8.248,202,11292.834684
-28.992,191,11487.25485
-9.923,156,11653.800256
-43.978,195,11852.674783
-4.585,198,12056.59868
-4.817,163,12215.370764
-15.864,186,12410.770395
-42.7,207,12629.911734
-17.113,168,12806.846407
-18.825,176,13071.928496
-9.401,181,13252.710841
-18.059,203,13457.922854
5.086,152,13612.576641
-2.714,191,13814.406865
-39.057,183,13996.147991
-27.027,177,14176.529566
-25.261,189,14370.390606
-9.485,177,14547.275024
-16.699,204,14751.357374
-18.387,213,14980.497744
-6.97,167,15152.79879
-22.2,199,15444.180729
-57.145,208,15667.382695
-27.117,205,15889.726832
-41.217,182,16070.386982
-17.967,211,16286.674894
-9.529,183,16479.668474
-23.023,195,16685.206224
-5.696,185,16881.206896
-21.773,202,17089.824958
-7.239,186,17284.4028
-21.768,169,17546.757256
-28.365,211,17761.105789
2.729,178,17946.29971
-8.948,156,18103.486997
-18.059,187,18300.217388
-50.549,214,18527.930614
-24.142,185,18729.117095
-23.935,171,18907.83091
-66.722,175,19093.847318
-38.532,188,19289.485203
-23.602,189,19478.078469
-34.949,189,19752.994938
-18.45,193,19955.178082
-8.835,184,20140.778783
-44.058,186,20329.795218
-13.32,173,20514.272283
-37.577,175,20695.454745
-10.625,150,20854.186804
-11.768,180,21040.267378
-17.747,196,21248.03482
-26.228,210,21456.834916
-6.688,163,21623.382789
-41.022,183,21892.214868
-38.932,176,22073.17478
-3.369,190,22265.072563
-7.177,214,22483.866834
-23.846,199,22693.15073
-52.125,216,22918.074968
-33.032,227,23149.091812
-16.27,196,23352.878452
-8.754,210,23572.093006
-7.088,164,23744.310801
-16.227,180,23937.079025
-15.836,186,24213.45567
-41.822,205,24421.535785
6.621,176,24602.942757
-33.779,155,24768.72681
-1.849,167,24940.536614
-9.603,184,25134.818562
-48.736,209,25347.455064
-11.5,166,25513.259268
-22.377,233,25757.402779
-57.817,210,25964.534853
-0.273,185,26144.302741
-5.004,166,26405.522798
-8.702,188,26601.666764
-9.761,204,26814.614908
-11.693,180,27004.41509
-56.781,182,27189.458773
-24.209,193,27395.542036
-25.789,195,27599.023068
-7.346,219,27825.32521
-16.656,199,28030.262842
-54.809,185,28224.738973
-14.299,191,28508.117153
-19.421,170,28684.982593
-22.624,194,28881.740215
-5.628,195,29087.394809
-13.663,170,29263.732786
-34.572,201,29480.710869
-6.099,177,29662.244061
-12.699,168,29836.217135
-3.604,176,30018.318949
-6.227,185,30215.634905
-6.389,163,30387.064757
-2.944,199,30599.543527
-18.268,202,30902.076267
-15.69,167,31075.674759
-22.47,188,31282.910849
-8.063,178,31474.969973
-13.958,178,31654.772152
-21.745,163,31819.872628
-21.533,187,32020.780313
-42.34,207,32238.138709
-15.466,184,32427.9774
-20.038,174,32614.458862
0.958,170,32794.127546
-46.476,193,33089.318846
-28.541,182,33280.642792
0.503,146,33430.095705
-8.6,186,33616.534816
-2.351,183,33809.011035
-45.658,235,34060.83884
1.31,167,34241.118897
-11.64,193,34444.998943
-1.066,176,34633.230869
3.865,165,34809.157676
-25.275,183,34998.268034
-10.415,186,35275.994664
-7.862,182,35468.287054
-39.875,170,35641.162968
-34.256,206,35857.52287
-0.739,170,36035.80278
-17.531,164,36216.486881
-19.597,176,36406.770621
1.079,193,36608.833587
-9.185,191,36817.964999
-21.068,190,37013.534853
-19.238,186,37207.426395
1.929,143,37360.163897
-5.657,197,37658.715574
-20.343,227,37883.664036
5.534,148,38036.24277
-7.542,161,38208.794816
-5.744,177,38394.494864
-38.236,197,38600.579032
-32.265,172,38781.598883
-4.653,197,38988.726408
-5.15,173,39172.927156
-21.983,174,39359.747048
-24.261,176,39544.114743
-19.194,174,39810.222512
-35.873,160,39983.56031
-5.866,170,40165.674892
-2.589,164,40341.279019
9.052,167,40516.572745
-10.151,191,40713.642884
-1.59,168,40895.569927
