#{"t_start": 1766322343.3376153, "env_id": "None"}
r,l,t
-22.052,174,13.719859
9.034,140,18.794658
-13.28,146,23.664864
-20.027,192,29.797853
-2.224,128,33.61987
5.255,125,37.143141
-14.171,184,41.708578
5.579,139,45.329739
-0.082,138,49.042606
4.784,155,53.161514
9.51,121,56.361206
-28.159,230,62.407209
-6.961,169,66.803947
6.739,146,298.460538
-14.169,138,302.055903
-7.531,168,306.311364
5.508,130,309.678907
-17.997,166,313.889533
0.479,134,317.310633
6.393,156,321.209393
-1.176,157,325.208042
12.117,126,328.512578
-4.178,139,332.162618
-8.615,145,335.767321
3.827,157,339.799719
-3.421,118,342.829208
-1.965,197,577.418907
0.978,123,580.681728
4.326,139,584.241074
1.135,158,588.241447
-6.476,165,592.513532
-2.711,146,596.260111
-17.576,155,600.162193
-4.271,187,605.083761
-24.571,214,610.594362
2.342,126,613.818832
-6.45,133,617.217389
8.378,127,620.601407
-7.874,152,624.458259
6.509,169,628.939168
4.098,134,861.245763
-15.152,163,865.435287
11.949,130,868.783324
-0.84,140,872.324927
-9.263,162,876.398079
-40.452,216,881.804317
0.267,150,885.545518
8.071,135,889.121818
7.0,129,892.420104
1.861,124,895.581984
-1.437,144,899.256129
-9.035,171,903.686388
9.999,137,907.319458
-13.021,157,1139.38676
4.913,132,1142.748165
11.567,105,1145.466393
1.608,235,1151.262758
-19.498,158,1155.358903
4.666,129,1158.641748
-4.952,152,1162.544152
-19.808,159,1166.679499
-2.031,127,1169.937003
-11.563,172,1174.305294
-13.928,198,1179.348873
-2.902,152,1183.209273
10.203,144,1186.934405
-21.136,191,1420.411007
5.074,136,1423.864002
2.545,161,1427.852534
-12.019,161,1431.953021
10.366,136,1435.431096
0.799,160,1439.579901
4.627,157,1443.504923
-2.191,159,1447.7033
12.039,125,1450.948453
-8.263,139,1454.566122
5.66,132,1457.963669
1.158,186,1462.567653
-40.081,182,1467.276799
-6.836,175,1471.66649
-6.773,186,1708.683968
10.103,136,1712.265476
6.154,126,1715.395328
-18.705,207,1720.681333
-0.025,124,1723.916675
9.31,145,1727.638179
4.279,161,1731.777014
3.826,127,1734.948724
4.352,143,1738.488971
7.062,156,1742.455867
8.304,117,1745.560525
0.707,166,1749.815352
7.754,135,1753.171141
1.781,149,1989.189489
4.817,150,1993.071028
6.274,150,1996.913451
13.599,125,2000.175831
3.983,148,2003.96633
8.413,141,2007.737621
3.733,139,2011.460808
8.524,155,2015.593686
5.901,168,2019.962597
-14.615,164,2024.051223
9.557,124,2027.125886
7.255,145,2030.809156
9.006,152,2034.825524
-18.212,170,2039.160945
4.273,160,2278.462682
6.242,164,2282.77312
7.451,144,2286.571202
3.67,137,2290.070324
-4.994,152,2293.977913
5.99,111,2296.793461
3.769,147,2300.573262
5.177,156,2304.588539
-10.17,133,2307.959862
-1.857,155,2311.989276
-30.109,181,2316.687333
7.921,137,2320.314253
-19.208,167,2324.580626
-13.309,176,2329.169524
2.776,124,2567.74991
-10.837,164,2571.856624
13.037,145,2575.527205
1.088,157,2579.543702
0.082,130,2582.823618
6.198,133,2586.295193
8.127,163,2590.527456
9.07,113,2593.368412
5.632,151,2597.19576
-3.493,133,2600.677206
11.813,134,2604.124778
2.248,146,2607.905609
-1.64,205,2613.017927
10.642,139,2616.673523
10.405,115,2855.679263
1.144,127,2858.97215
8.007,140,2862.677441
-27.571,193,2867.877754
5.812,135,2871.452955
2.998,215,2876.949864
10.885,138,2880.635224
11.666,150,2884.365485
-15.488,182,2889.291165
7.783,155,2893.314836
7.868,135,2896.790602
9.986,138,2900.203654
12.2,135,2903.641795
4.217,148,3142.39514
-18.6,189,3147.196425
-26.755,185,3152.087997
6.017,150,3155.92387
12.022,121,3159.018156
-10.495,111,3161.881521
10.71,133,3165.216952
11.342,129,3168.533482
10.634,158,3172.73201
-9.839,189,3177.700943
10.791,151,3181.63148
9.114,110,3184.63132
7.507,155,3188.766445
-4.267,138,3192.396725
9.809,129,3436.401701
12.325,136,3439.806328
7.29,114,3442.815057
-6.866,121,3445.972835
-9.455,124,3449.280272
3.861,126,3452.531621
11.861,132,3455.930062
11.861,141,3459.604366
0.612,158,3463.735165
9.259,168,3467.96122
6.467,146,3471.922344
-27.338,192,3476.759125
4.668,180,3481.459777
12.822,110,3484.443161
0.469,140,3488.216384
6.865,123,3731.364491
3.752,166,3735.73507
-4.931,161,3740.077487
-10.053,139,3743.795956
2.491,153,3747.730285
10.657,110,3750.605883
10.043,127,3753.823241
-19.516,154,3757.830429
0.305,137,3761.340581
-20.871,204,3766.700287
-9.956,151,3770.698407
8.723,124,3773.904117
4.812,130,3777.378668
5.86,146,3781.170964
5.605,139,4023.301459
-1.358,132,4026.670385
10.677,123,4029.877348
2.964,153,4033.920061
-0.63,150,4037.990263
6.403,128,4041.361104
-13.952,161,4045.72968
7.897,122,4048.892122
-20.915,187,4053.700775
4.55,152,4057.709557
0.765,182,4062.391358
1.891,161,4066.535939
6.529,137,4069.990451
-23.177,229,4315.802836
13.955,115,4318.76406
12.648,146,4322.663301
11.359,120,4325.770655
6.918,142,4329.536751
-8.659,161,4333.828943
3.591,130,4337.286903
8.492,146,4341.031648
5.141,143,4344.805084
-8.608,169,4349.346045
-4.197,143,4353.204268
4.082,121,4356.416357
6.606,163,4360.687655
3.348,143,4364.451663
5.779,135,4368.090683
7.738,135,4611.961586
-6.922,171,4616.265972
6.22,120,4619.404193
7.65,121,4622.517989
-1.367,158,4626.703454
7.29,134,4630.203596
-0.682,170,4634.631601
9.566,110,4637.51492
-2.774,189,4642.645637
-8.05,197,4647.74283
12.506,137,4651.23225
13.032,115,4654.26393
9.675,128,4657.531566
11.545,149,4661.443106
12.139,131,4906.430549
-0.694,141,4910.12133
8.788,152,4914.070567
12.135,108,4916.955011
-24.151,163,4921.184374
7.917,178,4926.014452
-13.424,167,4930.414856
11.597,150,4934.315666
9.366,115,4937.276367
-11.459,179,4942.027754
1.973,141,4945.776605
5.144,183,4950.72276
7.981,129,4954.186595
7.552,139,4957.8224
4.961,125,5204.267689
10.357,131,5207.759412
9.465,126,5211.165642
10.916,117,5214.220115
11.434,129,5217.520163
7.268,133,5221.096199
10.217,158,5225.179371
10.123,148,5229.137078
0.194,124,5232.404638
7.231,122,5235.628209
11.752,139,5239.313863
10.735,115,5242.236782
8.186,148,5245.951588
10.815,127,5249.285131
9.993,125,5252.592003
9.658,143,5500.850851
8.963,171,5505.218651
6.764,169,5509.480899
10.399,118,5512.589056
7.522,146,5516.371547
8.183,153,5520.399813
6.383,136,5524.061845
3.345,158,5528.342738
12.406,140,5532.033865
12.531,147,5535.897114
9.187,127,5539.336761
-11.432,198,5544.607116
9.979,161,5549.00921
10.491,125,5552.2874
4.211,151,5801.114501
-8.116,139,5804.693606
13.159,123,5807.989678
6.79,145,5811.739958
-1.787,142,5815.443621
-3.586,157,5819.541794
7.676,141,5823.173709
6.012,121,5826.308928
8.419,170,5830.844281
8.539,132,5834.378731
13.056,127,5837.73695
14.111,132,5841.190168
12.296,146,5845.097633
1.895,127,5848.627017
11.849,131,5852.099539
7.713,150,6099.238315
12.209,131,6102.58713
-0.494,156,6106.76106
5.014,169,6111.211342
10.501,114,6114.192652
-8.596,148,6117.971287
9.405,134,6121.623881
7.896,122,6124.726841
9.165,149,6128.623876
7.535,136,6132.183861
6.039,131,6135.637424
11.583,166,6140.102377
4.534,125,6143.456929
3.758,162,6147.711605
2.724,120,6395.851526
8.49,150,6399.960268
12.012,111,6402.847982
-0.84,168,6407.304139
12.288,123,6410.604962
0.515,158,6414.753867
11.498,145,6418.59803
0.847,122,6421.873043
13.179,119,6425.047435
12.761,134,6428.66491
-5.097,149,6432.710396
-8.555,144,6436.509936
0.89,156,6440.650176
7.079,117,6443.664593
9.186,123,6446.967794
-2.166,153,6697.164102
6.558,125,6700.622181
4.241,123,6704.002147
13.724,130,6707.384714
16.189,116,6710.499263
2.444,129,6713.942309
16.516,125,6717.191945
0.924,157,6721.346452
3.215,140,6725.045219
2.696,161,6729.318237
0.456,141,6733.053016
10.288,122,6736.121742
5.472,125,6739.615013
8.806,194,6744.725373
-2.804,159,6748.999312
16.286,125,7002.538767
13.469,132,7006.250773
5.802,146,7010.194224
13.271,122,7013.441515
10.87,129,7016.81327
12.839,122,7020.165977
-4.708,162,7024.402916
12.727,127,7027.902303
12.52,101,7030.620866
1.795,136,7034.357726
11.755,115,7037.358444
3.439,140,7040.978815
9.657,133,7044.425293
9.186,142,7048.237937
4.535,136,7051.850238
11.398,135,7306.477779
-5.338,150,7310.503676
13.221,105,7313.300544
11.447,121,7316.478275
11.2,121,7319.631918
11.86,153,7323.672258
15.426,141,7327.517189
11.268,153,7331.641338
10.27,129,7335.070606
3.99,181,7339.960477
11.337,144,7343.608617
13.983,135,7347.177126
6.8,172,7351.849869
6.91,163,7356.190295
4.988,132,7359.730301
2.871,165,7617.482237
7.61,139,7621.161396
8.863,147,7625.054587
12.203,136,7628.709781
16.989,126,7632.082657
13.014,142,7635.865959
6.205,135,7639.530291
8.042,114,7642.568096
1.219,160,7646.682512
10.255,126,7650.138896
7.235,132,7653.778744
9.516,118,7657.065305
11.261,145,7661.032753
8.025,112,7664.03319
11.309,133,7667.574039
4.802,132,7925.131775
10.552,130,7928.570493
11.818,137,7932.244175
8.09,112,7935.175624
14.188,110,7938.151632
15.343,139,7941.817391
12.088,132,7945.259948
6.712,132,7948.626679
11.413,132,7952.144525
11.563,127,7955.694484
12.591,124,7959.00279
8.185,160,7963.44699
11.542,144,7967.313202
13.484,102,7970.072638
11.257,134,7973.762414
8.592,128,7977.154703
2.302,131,8236.959127
3.536,121,8240.218728
11.756,130,8243.755958
14.56,121,8246.968745
9.962,172,8251.558985
10.042,133,8255.249109
12.854,115,8258.381807
6.059,163,8262.74863
-18.541,185,8267.703865
11.562,146,8271.738904
13.142,137,8275.407022
9.648,122,8278.594889
17.196,145,8282.584123
16.968,126,8285.849611
12.414,128,8545.829685
11.983,146,8549.748717
9.741,153,8553.937175
2.906,137,8557.725325
12.033,133,8561.354486
13.337,147,8565.278482
7.32,148,8569.116265
9.546,112,8572.16121
10.346,131,8575.708421
17.712,115,8578.847589
12.28,115,8581.803811
10.767,141,8585.629151
13.515,128,8589.107621
0.588,127,8592.538233
5.885,150,8596.725531
10.889,147,8600.796945
15.327,120,8860.951832
9.427,129,8864.395897
5.032,148,8868.411954
12.477,137,8872.109302
3.384,135,8875.684207
11.184,148,8879.707849
4.06,142,8883.684995
14.516,130,8887.022331
12.285,135,8890.793637
15.74,131,8894.279587
4.406,124,8897.623254
14.358,135,8901.299725
11.639,121,8904.474927
8.534,149,8908.472055
10.622,111,8911.486407
9.946,134,9168.901017
14.748,125,9172.229382
15.549,126,9175.721842
11.167,144,9179.633425
11.695,114,9182.715988
13.429,127,9186.238318
10.852,113,9189.315053
15.196,120,9192.468975
4.58,145,9196.368472
7.81,115,9199.408755
14.861,117,9202.521372
7.527,123,9205.92699
6.959,130,9209.53231
12.552,120,9212.884305
12.014,119,9216.180848
3.562,148,9220.305031
12.52,122,9480.131247
12.447,124,9483.509108
3.718,132,9487.050813
13.089,118,9490.416592
14.026,124,9493.81689
10.775,139,9497.597584
18.018,132,9501.243729
12.651,133,9504.810088
8.094,126,9508.308583
9.371,138,9512.04241
13.246,112,9515.07866
11.04,124,9518.398067
10.506,116,9521.53541
15.604,118,9524.681008
9.766,127,9528.12398
11.371,147,9532.168114
-5.304,208,9794.178082
4.462,133,9797.751389
6.019,131,9801.342918
14.342,127,9804.713572
1.135,174,9809.403027
6.706,128,9812.974935
12.816,139,9816.592576
14.669,108,9819.458898
11.355,119,9822.622011
12.868,116,9825.787499
9.779,125,9829.163514
-5.215,117,9832.27152
10.38,113,9835.205455
13.867,126,9838.751443
14.886,145,9842.713471
7.488,147,10103.466178
6.788,132,10107.021038
7.519,148,10111.164
12.096,131,10114.67602
7.03,120,10117.969108
7.284,131,10121.500107
8.752,116,10124.638863
10.131,120,10127.968111
10.5,128,10131.280407
7.1,150,10135.156757
17.977,116,10138.375824
-2.133,163,10142.668894
13.011,141,10146.541861
12.238,129,10150.159641
14.61,123,10153.490044
13.548,141,10157.408115
10.5,144,10419.373947
-1.27,126,10422.872587
13.707,126,10426.372063
7.686,111,10429.429042
15.761,132,10433.068574
11.807,123,10436.487237
14.741,106,10439.508099
7.143,138,10443.3447
14.861,145,10447.336845
10.926,129,10450.874029
15.242,131,10454.399929
12.856,123,10457.734044
14.765,113,10460.877271
8.052,137,10464.630395
13.674,128,10468.175054
15.171,133,10471.855894
12.593,128,10736.030114
5.297,140,10739.801558
9.94,123,10743.13291
12.582,119,10746.328484
17.201,142,10750.34639
-3.739,175,10755.143692
2.419,147,10759.144805
15.466,117,10762.508194
16.17,128,10766.038323
9.173,131,10769.641736
12.658,119,10772.928514
17.811,123,10776.346681
12.583,131,10779.840347
9.291,127,10783.329461
18.649,113,10786.414582
12.463,126,10789.93078
12.653,102,11052.790274
12.32,132,11056.53415
7.579,130,11059.997048
15.85,123,11063.234739
16.943,127,11066.742511
12.213,122,11070.160983
16.296,124,11073.493581
10.348,118,11076.727602
12.928,138,11080.557606
8.47,124,11084.08198
17.205,107,11087.072143
14.864,106,11089.943089
14.756,123,11093.2947
10.884,120,11096.575613
11.6,127,11100.007338
10.314,135,11103.621223
15.617,138,11366.065529
15.951,116,11369.231138
10.018,145,11373.252019
13.394,127,11376.742606
18.187,136,11380.362419
13.056,121,11383.748636
-1.531,139,11387.635055
15.268,113,11390.735656
9.455,128,11394.26699
-3.77,154,11398.447134
11.748,144,11402.456974
11.668,141,11406.293664
15.166,114,11409.535669
9.722,124,11412.969821
16.276,115,11416.110215
13.22,116,11419.285582
14.867,126,11682.647618
12.325,114,11685.90514
13.73,128,11689.344346
2.344,134,11693.047284
17.511,118,11696.363268
18.124,127,11699.940084
13.659,139,11703.846961
15.295,133,11707.501602
8.702,136,11711.303271
6.624,112,11714.343739
12.44,116,11717.511684
15.472,125,11720.883437
17.694,119,11724.133684
11.037,139,11727.925513
18.286,122,11731.239255
14.98,101,11733.989183
18.359,137,11737.815763
13.01,122,12002.622673
15.412,139,12006.471885
14.006,124,12009.885719
17.394,124,12013.305895
8.079,122,12016.605208
10.564,123,12019.929437
14.402,114,12023.130407
12.272,126,12026.43719
12.778,141,12030.225617
12.727,135,12033.91204
16.362,129,12037.342484
5.344,154,12041.571276
14.97,123,12045.10812
15.609,120,12048.479817
10.906,130,12052.097355
15.459,128,12055.603204
17.131,131,12320.334833
11.758,123,12323.738003
15.498,151,12327.905675
15.748,127,12331.436751
15.305,121,12334.674237
18.778,119,12338.037245
15.453,117,12341.340453
6.806,130,12344.966477
9.349,118,12348.271231
16.426,129,12351.850079
15.268,129,12355.416866
14.521,140,12359.338996
14.924,118,12362.680857
12.971,142,12366.647342
16.901,113,12369.827408
12.261,125,12373.233572
13.623,123,12639.220047
15.128,126,12642.604139
10.904,147,12646.564252
18.512,122,12650.018511
14.613,135,12653.705574
12.738,148,12657.772421
16.079,130,12661.410479
2.115,133,12665.088312
17.297,114,12668.258775
16.02,126,12671.59234
12.695,125,12675.060808
16.064,113,12678.175397
13.642,131,12681.752291
12.429,126,12685.274038
15.226,131,12688.805549
15.835,134,12692.525322
7.074,110,12955.920462
7.266,132,12959.555744
7.921,115,12962.679257
16.539,117,12965.817089
16.876,114,12968.878795
17.712,112,12971.985769
16.015,141,12975.756695
19.186,116,12979.012705
8.918,109,12982.012366
11.55,128,12985.594467
14.908,129,12989.23899
18.273,134,12992.955672
11.08,137,12996.693505
17.621,119,12999.952001
18.469,111,13003.023566
14.485,119,13006.284775
9.658,123,13270.40773
12.933,117,13273.58439
11.741,144,13277.548256
6.617,113,13280.649079
11.521,126,13284.214756
-12.126,151,13288.235948
10.64,136,13291.953291
8.78,117,13295.214275
-2.826,142,13299.074235
-1.521,137,13302.956876
6.735,123,13306.530605
18.361,116,13309.716124
13.357,130,13313.170547
17.05,111,13316.289897
3.535,142,13319.96343
10.763,119,13323.296177
13.402,132,13586.700089
15.471,134,13590.433557
12.836,131,13594.183992
17.466,130,13597.861709
13.499,114,13601.007788
13.121,117,13604.259711
9.108,138,13608.035794
17.642,142,13612.011001
-5.301,158,13616.496003
18.017,119,13619.843082
12.36,131,13623.496023
16.217,127,13627.01256
15.511,113,13630.119763
9.369,139,13633.918531
14.05,128,13637.440197
16.087,118,13640.814568
6.726,139,13908.835931
17.684,133,13912.524547
15.0,135,13916.194373
18.695,127,13919.665287
14.874,134,13923.429914
11.81,133,13927.051873
17.053,132,13930.561182
15.355,104,13933.412359
11.503,114,13936.573333
-13.658,125,13940.010787
18.31,126,13943.541897
12.718,124,13946.952924
12.129,121,13950.512117
14.756,130,13954.114899
16.044,119,13957.375702
10.959,147,13961.33297
12.549,133,14226.661346
11.662,115,14229.812988
14.803,136,14233.588709
16.451,112,14236.665385
13.985,112,14239.621511
15.59,105,14242.518353
18.055,129,14246.175835
16.276,136,14250.006241
13.637,133,14253.863687
18.969,131,14257.492764
9.523,140,14261.252443
7.918,124,14264.687208
6.56,130,14268.250696
13.013,116,14271.490808
14.046,155,14275.818492
14.526,122,14279.085739
4.824,125,14544.341799
16.881,124,14547.732611
16.484,117,14550.994549
5.971,135,14554.640966
8.072,124,14558.055673
7.165,116,14561.326973
13.871,111,14564.361111
14.376,110,14567.417039
16.514,128,14571.002001
12.203,122,14574.451705
-17.054,145,14578.357402
15.526,110,14581.313122
14.114,118,14584.479421
13.461,133,14588.08715
15.711,118,14591.37193
14.921,122,14594.729857
3.476,132,14598.366563
13.35,127,14863.920196
13.153,116,14867.144273
14.926,109,14870.23355
17.605,122,14873.673677
15.378,135,14877.377799
16.849,119,14880.694165
17.125,126,14884.082245
6.14,129,14887.619146
18.749,131,14891.258021
7.796,124,14894.689766
15.992,115,14897.960634
16.583,110,14900.994888
12.982,153,14905.187989
15.689,133,14908.891963
9.468,136,14912.606124
16.253,110,14915.613721
16.109,130,15182.282983
15.156,119,15185.607737
10.985,106,15188.595304
14.929,123,15191.987419
11.189,133,15195.734771
15.071,134,15199.554624
10.715,134,15203.2346
13.539,148,15207.23702
7.178,137,15211.058466
10.612,131,15214.749926
11.902,121,15218.102305
11.775,132,15221.769186
13.871,112,15224.874216
14.738,123,15228.336407
13.959,122,15231.728844
16.443,143,15235.682107
12.709,109,15238.745791
7.933,126,15504.176145
14.696,122,15507.557964
14.408,124,15511.029277
19.073,122,15514.428365
17.074,120,15517.767948
18.845,126,15521.328282
14.8,107,15524.460821
10.579,127,15528.087961
18.263,119,15531.475969
12.257,114,15534.638018
12.002,124,15537.959427
8.485,128,15541.499221
17.218,106,15544.425386
3.141,115,15547.732408
16.482,119,15550.97712
17.244,120,15554.2535
15.445,115,15557.486494
