#{"t_start": 1767038183.6861506, "env_id": "None"}
r,l,t
-77.439,195,7.836563
-78.015,181,10.633152
-63.813,175,13.413755
-38.734,196,16.220984
-17.167,193,18.829671
-89.672,202,21.349854
-92.293,180,23.727316
-81.619,178,26.083687
-140.891,192,28.467071
-112.518,178,30.709096
-38.976,193,76.202451
-85.025,217,79.114044
-105.645,178,81.443424
-86.471,190,83.689333
-102.477,183,85.997406
-93.536,188,88.451179
-73.694,209,91.132432
-27.256,168,93.18223
-138.937,180,95.494987
-101.606,212,98.140245
-88.765,174,100.194974
