#{"t_start": 1767038183.685162, "env_id": "None"}
r,l,t
-81.413,195,7.834064
-127.704,201,11.093077
-45.703,187,13.939457
-69.238,198,16.711028
-58.503,171,18.97669
-29.96,174,21.168645
-107.341,177,23.468613
-86.867,156,25.536546
-47.398,172,27.748222
-46.871,181,29.966026
-108.27,160,31.961331
-110.803,196,77.646184
-75.46,205,80.367819
-76.259,192,82.65553
-98.702,201,85.135511
-62.748,220,88.06466
-188.852,215,90.825164
-41.079,195,93.184383
-56.6,164,95.301777
-55.034,175,97.519776
-54.081,168,99.504926
-135.485,197,145.257185
-139.379,210,147.987169
-86.741,172,150.208831
-92.28,205,152.975811
-64.792,197,155.425844
-37.495,148,157.391969
-41.549,188,159.708833
-59.723,173,161.862396
-45.681,201,164.30356
-65.183,181,166.550859
-26.863,194,169.043389
-95.21,222,214.754818
-79.301,191,217.336166
-190.716,223,220.237842
-104.77,205,222.685298
-70.485,180,225.032519
-150.354,216,227.856614
-127.567,206,230.387053
-39.632,186,232.838322
-69.296,170,234.980296
-129.717,181,237.289289
-51.795,182,239.695256
-55.61,194,285.363237
-12.351,195,287.840571
-123.895,175,290.096428
-83.57,194,292.542152
-68.66,240,295.34943
-119.21,231,298.282378
-76.525,212,301.100815
-75.786,167,303.296677
-13.768,168,305.433408
-79.628,203,308.103325
-16.216,181,353.813123
-76.352,214,357.116382
-173.922,185,359.657072
-55.115,181,362.451861
-37.752,189,365.091578
-92.253,196,367.625638
-29.375,173,369.748488
-154.074,202,372.395236
-106.572,172,374.617578
-38.068,194,377.385417
-37.649,184,379.773015
-80.277,169,425.181843
-169.941,188,428.088282
-67.234,205,430.859836
-130.879,233,434.021468
-32.661,172,436.368202
-95.046,169,438.599498
-16.502,192,441.067448
-43.939,204,443.669483
-51.243,181,445.8561
-42.428,200,448.300178
-139.557,195,450.788195
-69.213,169,496.680787
-188.028,203,499.951766
-82.281,219,503.251432
-123.44,181,505.66957
-88.59,170,507.881925
-73.168,184,510.025405
-78.856,175,512.310592
-48.983,165,514.419566
-37.89,183,516.751169
-37.235,167,518.910216
-86.658,197,521.304041
-70.541,179,566.986225
-61.147,183,569.462156
-73.475,190,572.301167
-82.506,184,575.115815
-88.775,201,577.880571
-41.312,174,580.364703
-65.285,195,582.8955
-28.373,199,585.567195
-126.947,199,588.042786
-32.273,226,590.918254
-139.804,180,593.277505
-50.322,171,638.403246
-112.982,219,641.82988
-114.953,233,644.824426
-146.002,204,647.587602
-75.983,204,650.484119
-47.871,160,652.714689
-53.173,176,654.888303
-29.596,207,657.532094
-120.399,213,660.400788
-43.319,182,662.83038
-162.846,187,707.68808
-57.456,202,710.625227
-69.108,209,713.471278
-78.238,209,716.221859
-88.718,198,718.893135
-95.165,215,721.686864
-67.398,204,724.406526
-88.101,185,726.924607
-64.767,184,729.287577
-48.546,173,731.490389
-56.882,197,776.457739
-21.846,166,778.758056
-48.574,168,781.150806
-229.964,225,784.481047
-71.47,165,786.649222
-101.157,225,789.74151
-202.512,197,792.58893
-114.902,174,794.884037
-33.271,197,797.556306
-9.46,193,799.988923
-33.654,169,802.119448
-96.93,181,846.925945
-31.909,158,849.185393
-52.712,193,851.965533
-92.627,206,854.934796
-124.203,191,857.254631
-22.478,193,859.804596
-143.052,175,862.017055
-50.915,183,864.577586
-73.997,222,867.502124
-79.113,174,869.914648
-70.953,210,872.624338
-67.139,196,917.461061
-67.879,173,919.837746
-24.861,185,922.588911
-192.448,203,925.34106
-162.229,191,927.754585
-32.486,204,930.405768
-43.906,163,932.621148
-159.832,203,935.531936
-146.367,218,938.321059
-90.067,188,940.697993
-116.495,160,943.04841
-81.752,196,988.169067
-162.817,174,990.849483
-65.023,171,993.03741
-50.082,166,995.172598
-123.262,199,998.011721
-129.577,196,1000.725907
-38.335,198,1003.318165
-123.636,198,1006.30866
-54.213,177,1008.638877
-52.914,188,1011.012064
-18.852,150,1012.771597
-43.898,195,1057.674735
-154.181,211,1060.563339
-143.791,243,1063.954158
-96.919,161,1066.346104
-93.766,184,1068.932087
-99.733,177,1071.310391
-257.859,197,1073.892618
-62.894,187,1076.418151
-42.906,224,1079.200128
-48.544,215,1082.051221
-133.789,216,1127.532097
-26.729,219,1130.509823
-69.298,172,1132.717018
-50.575,211,1135.625755
-102.181,211,1138.391069
-175.994,193,1141.070304
-125.231,212,1143.837582
-75.659,171,1146.029862
-43.11,210,1148.872798
-17.028,175,1151.040772
-84.01,195,1153.549114
-89.273,204,1199.314086
-42.989,211,1202.47665
-28.883,186,1205.003498
-101.237,211,1207.875928
-54.686,158,1209.97633
-64.579,213,1212.826497
-72.858,201,1215.481249
-71.42,187,1217.820678
-100.758,207,1220.557175
-70.411,215,1223.25677
-70.366,189,1268.168355
-217.608,216,1271.002487
-158.501,165,1273.123801
-74.688,190,1275.676989
-138.437,188,1278.271744
-70.993,203,1280.9172
-37.826,197,1283.472813
-62.257,181,1285.902172
-2.285,179,1288.460477
-58.238,207,1291.368442
-41.361,203,1294.100018
-121.134,211,1339.833491
-58.176,173,1342.33517
-47.616,186,1344.687593
-117.667,181,1347.117262
-21.66,188,1349.612397
-102.178,209,1352.328629
-19.352,199,1354.870023
-32.065,177,1357.30906
-51.086,195,1359.9606
-71.938,202,1362.46709
-10.874,194,1407.54553
-37.982,205,1410.264194
-72.749,202,1413.238712
-134.868,211,1416.381491
-84.865,191,1418.977358
-40.37,188,1421.395904
-188.708,227,1424.444032
-59.179,182,1426.920713
-61.371,172,1429.118033
-17.602,183,1431.514378
-111.497,198,1434.101927
-42.128,191,1478.807203
-30.354,171,1481.172247
-24.151,166,1483.608392
-87.841,203,1486.337296
-18.123,211,1489.105446
-144.009,197,1491.688372
-95.035,189,1494.355546
-107.936,181,1496.843421
-53.215,180,1499.188439
-29.313,176,1501.660945
-62.401,213,1504.499811
-87.677,216,1549.81696
-31.887,201,1552.713444
-31.334,212,1555.735135
-106.46,206,1558.467174
-14.955,192,1561.061469
-35.535,167,1563.209152
-42.076,187,1565.603386
-83.55,201,1568.347947
-67.132,203,1570.85988
-37.9,187,1573.242955
-43.683,210,1619.104549
-107.086,201,1622.018525
-53.284,238,1625.217949
-147.839,196,1627.812395
-132.603,212,1630.839139
-42.923,199,1633.492995
-91.391,237,1636.700794
-127.996,217,1639.590595
-40.219,197,1641.958048
-48.993,140,1643.829947
-59.231,179,1688.896329
-83.484,174,1691.177059
-85.337,192,1693.912491
-106.955,204,1696.474448
-13.857,179,1698.96349
-94.648,219,1701.811213
-6.364,210,1704.51147
-82.578,194,1707.161647
-52.718,196,1709.827096
-76.495,189,1712.153322
-159.884,193,1714.590497
-53.505,201,1760.179118
-47.981,191,1762.979292
-71.466,202,1765.694002
-19.23,195,1768.356178
-72.78,196,1770.866617
-49.318,186,1773.399845
-37.424,191,1776.038625
-58.218,183,1778.264834
-96.785,212,1781.157718
-34.437,194,1783.659868
-83.928,197,1829.233543
-59.992,201,1832.004318
-41.929,197,1834.545464
-78.788,191,1836.969411
-89.232,212,1839.922548
-69.674,192,1842.669026
-40.425,217,1845.640234
-25.52,181,1848.001117
-147.484,211,1850.761143
-42.302,165,1852.790252
-19.673,218,1898.455318
-75.057,199,1901.301161
-41.286,234,1904.536102
-97.634,229,1907.786844
-39.039,178,1910.318069
-189.284,219,1913.268456
-183.336,216,1916.219919
-55.569,204,1918.762594
-31.203,176,1920.908601
-79.995,222,1923.815351
-10.031,194,1969.251513
-33.699,204,1972.161869
-29.969,208,1975.013458
-106.143,191,1977.866528
-109.751,216,1980.924828
-50.847,209,1983.693553
-73.696,179,1985.947238
-51.645,196,1988.566021
-124.434,236,1991.667559
-34.421,181,1994.019773
-37.934,176,2039.130236
-112.238,226,2042.205867
-70.865,169,2044.515723
-205.246,217,2047.341196
-28.269,186,2050.020487
-1.598,195,2052.87402
-91.766,211,2055.539557
-46.51,202,2058.354293
-52.167,192,2060.846846
-133.361,172,2063.127136
-66.336,222,2065.936968
-21.68,205,2111.845843
-51.745,209,2114.602438
-176.852,197,2117.532794
-155.087,203,2120.259108
-39.577,193,2122.993103
-31.713,198,2125.648652
-12.854,213,2128.685432
-48.729,185,2130.982495
-47.324,182,2133.431106
-61.731,192,2136.025309
-71.015,183,2181.935647
-81.274,182,2184.385195
-61.112,185,2187.051609
-34.073,201,2189.542199
-18.738,180,2191.921518
-128.412,223,2195.128479
-74.439,207,2197.96464
-28.916,186,2200.422771
-58.385,206,2203.045094
-68.026,198,2205.621463
-193.671,242,2251.888793
-7.673,170,2254.147607
-118.084,222,2257.025193
-43.313,190,2259.392986
-179.138,235,2262.388529
-76.594,185,2264.749339
-2.874,134,2266.4152
-19.151,155,2268.438009
-136.255,207,2271.054538
-27.487,214,2273.611914
-149.769,200,2276.110053
-98.337,214,2321.837461
-37.608,186,2324.129998
-40.782,186,2326.494223
-40.167,159,2328.501805
-112.87,251,2331.75098
-95.603,196,2334.162246
-82.243,168,2336.324887
-64.691,194,2338.860675
-57.627,174,2341.059784
-106.449,183,2343.477409
-66.391,184,2345.876608
-16.143,153,2391.273741
-95.662,169,2393.388345
-46.733,191,2395.931809
-58.034,201,2398.609775
-45.759,187,2401.027643
-30.344,199,2403.572745
-98.821,181,2405.940691
-22.491,176,2408.200801
-45.326,202,2410.818614
-37.59,197,2413.491605
0.385,179,2415.844273
-23.219,226,2462.06895
-65.301,197,2464.652548
-38.142,200,2467.204939
-24.241,190,2469.549131
-114.871,213,2472.348209
-14.725,192,2474.739589
-31.627,171,2476.944632
-29.888,184,2479.393802
-14.922,206,2481.998026
-10.936,177,2484.380401
-65.196,196,2530.987883
-17.223,172,2533.182554
-22.58,194,2535.752866
-66.068,166,2537.967836
-80.291,209,2540.647208
-45.973,180,2542.984624
-42.46,172,2545.066418
-46.148,172,2547.19932
-84.19,194,2549.922315
-33.801,170,2552.010057
5.881,166,2554.115369
-38.425,201,2556.703493
-9.955,191,2603.146466
-132.238,187,2605.535618
-61.661,209,2608.073778
0.757,175,2610.244086
-45.082,166,2612.35447
-37.744,161,2614.335232
-10.264,191,2616.728849
-69.605,183,2619.165321
-87.22,204,2621.798844
-53.348,191,2624.207578
-26.517,185,2626.650453
-64.604,202,2673.073291
-18.143,173,2675.316926
-58.639,188,2677.751276
-108.795,219,2680.62747
-44.284,177,2682.854749
-98.393,198,2685.372227
-6.482,202,2687.884793
3.438,177,2690.272349
-12.892,172,2692.645314
-38.916,189,2695.221973
-16.97,177,2697.381841
-15.538,173,2743.885087
-117.21,203,2746.483901
-18.827,221,2749.366207
-70.41,191,2751.835086
-9.224,170,2754.036823
-71.684,226,2757.16763
-89.655,146,2759.221581
-74.622,192,2761.78547
-1.287,161,2763.858593
-16.856,182,2766.214424
-70.555,190,2768.673612
-9.687,211,2815.685677
-55.259,183,2818.18199
-16.38,164,2820.299069
-30.598,160,2822.401076
1.199,159,2824.506702
-51.138,184,2826.870378
-22.857,178,2829.220142
-29.819,172,2831.658825
-32.495,191,2834.376795
-15.818,183,2836.830059
-63.116,175,2839.070435
-11.41,140,2884.912962
-17.913,199,2887.75236
-2.817,172,2889.91978
-118.788,166,2892.024167
-92.643,169,2894.416218
-31.701,181,2896.705217
-2.231,139,2898.652394
-6.076,206,2901.538467
-2.037,141,2903.380608
-35.597,180,2905.844432
-32.72,188,2908.50731
-24.895,161,2910.825204
-71.138,190,2957.878932
-42.093,198,2960.590108
-12.604,191,2963.035001
-19.189,179,2965.453799
-49.319,154,2967.437733
-8.096,176,2969.635885
-53.32,164,2971.763788
-85.803,205,2974.447493
-13.557,183,2976.758946
-22.286,193,2979.248317
-66.098,184,2981.583074
-79.467,191,3028.813175
-13.037,175,3031.13502
-72.796,202,3033.895324
-46.724,186,3036.480147
-75.417,178,3038.821888
-58.82,188,3041.336909
5.418,178,3043.722861
-84.67,174,3045.972465
-103.71,178,3048.43189
3.728,153,3050.560632
-18.117,162,3052.725069
-23.719,174,3054.96462
3.8,178,3102.66781
-59.059,177,3105.104802
-49.328,198,3107.820756
-59.569,171,3110.32043
-29.798,189,3113.040363
-13.423,172,3115.475751
-103.131,184,3117.95757
2.826,128,3119.684183
-3.336,179,3122.204594
-11.224,169,3124.531077
-5.094,213,3127.376597
1.757,170,3176.004575
-26.085,186,3178.691856
-9.968,149,3180.637032
1.856,171,3182.969221
4.214,156,3185.213056
-1.925,153,3187.272285
-4.582,168,3189.336152
2.199,142,3191.287622
-7.582,175,3193.596709
-6.296,179,3196.005855
