#{"t_start": 1766322343.324902, "env_id": "None"}
r,l,t
2.595,140,10.135715
-5.491,151,17.613236
0.806,144,22.913302
4.558,141,27.605458
1.834,151,31.996705
1.831,147,36.395348
-7.589,135,39.774372
10.597,125,42.846222
-21.02,150,46.953937
-2.213,147,50.820204
8.481,142,54.548362
-16.125,196,59.668318
-8.095,149,63.60148
-44.606,192,296.525285
4.663,166,300.733937
-5.404,142,304.40738
-8.424,146,308.191871
-1.326,154,312.116927
-10.693,160,316.193876
7.252,145,319.808477
-4.651,136,323.241985
13.044,122,326.369256
5.119,136,329.959782
6.638,141,333.590013
9.108,134,336.972957
9.297,138,340.530291
1.783,175,344.988312
-9.439,146,578.29689
-5.018,127,581.605095
-8.144,165,585.828473
-25.276,169,590.242538
-1.219,171,594.589404
-13.814,150,598.324199
3.235,135,601.817226
-16.099,161,606.067469
-0.221,147,609.888836
5.048,141,613.471105
2.229,156,617.456675
-3.238,165,621.792564
1.078,153,625.771821
7.189,162,858.92548
11.81,151,862.742548
1.527,143,866.475875
-13.807,159,870.49553
10.147,155,874.409876
7.954,136,877.78905
-0.636,135,881.188922
5.633,160,885.216813
-24.18,176,889.809541
-3.606,140,893.425885
1.232,153,897.313807
-14.647,130,900.65012
-14.399,167,905.000386
4.084,115,908.010137
-3.215,149,1139.862232
0.193,124,1143.040059
-13.992,166,1147.226346
-10.021,158,1151.107983
-3.138,161,1155.282197
-5.744,179,1159.872271
7.795,147,1163.652662
7.288,129,1167.007644
0.372,121,1170.090373
3.889,143,1173.694584
-10.027,144,1177.451191
-7.813,184,1182.053496
1.238,177,1186.637969
6.041,152,1190.43827
4.695,152,1422.99617
7.329,126,1426.136971
12.228,120,1429.142255
-0.292,177,1433.665055
-4.139,165,1437.929703
-3.392,153,1441.799922
7.289,136,1445.266816
-2.211,128,1448.655399
6.363,163,1452.880473
5.229,138,1456.457791
-11.712,157,1460.436925
9.819,125,1463.523571
-9.739,149,1467.425616
4.542,129,1470.683969
5.541,133,1706.282651
6.41,123,1709.505526
-92.635,237,1715.48653
11.354,138,1718.975998
-5.979,132,1722.359496
8.026,125,1725.685199
2.528,125,1728.834444
6.949,117,1731.883365
6.209,120,1734.860597
-3.144,159,1738.810538
7.673,149,1742.594578
8.124,171,1747.096418
7.403,124,1750.258518
-0.41,191,1755.002686
7.304,154,1991.235511
-22.778,165,1995.516047
10.101,151,1999.398028
11.837,111,2002.213564
6.561,133,2005.759833
7.52,128,2009.099208
11.144,135,2012.74834
9.901,114,2015.805615
9.262,139,2019.405007
14.13,160,2023.414108
6.135,133,2026.749439
1.624,136,2030.152829
6.004,147,2034.067327
6.745,139,2037.670095
-10.002,173,2277.205935
8.498,135,2280.736453
-12.214,203,2286.110136
-1.519,137,2289.614314
11.966,161,2293.74752
0.547,159,2297.762371
9.631,131,2301.150359
2.188,173,2305.637768
10.299,161,2309.732171
-1.075,143,2313.402076
0.286,146,2317.238371
4.058,127,2320.584034
1.75,173,2325.024431
-4.207,178,2329.638021
1.497,117,2568.073914
0.665,129,2571.308082
7.265,171,2575.574346
-49.208,227,2581.306326
11.031,129,2584.63236
2.527,128,2588.051486
-3.23,186,2592.735181
2.243,126,2595.927631
4.57,177,2600.58545
11.02,108,2603.306506
10.502,125,2606.54188
9.338,129,2609.773417
6.078,145,2613.490782
5.155,151,2617.444284
7.839,127,2856.779797
5.705,123,2859.932429
0.321,145,2863.846243
-8.892,150,2867.843963
13.343,145,2871.684214
8.598,155,2875.630244
0.912,152,2879.678786
10.501,120,2882.717405
10.952,127,2886.068333
-18.793,157,2890.205394
-0.076,146,2894.034295
11.237,138,2897.52008
-20.013,201,2902.588107
1.501,166,2906.72799
3.25,175,3146.208569
5.995,176,3150.808537
11.312,126,3154.112913
-3.684,148,3157.858459
6.091,145,3161.586575
-3.39,117,3164.582371
9.789,151,3168.407233
-8.562,169,3172.931786
8.538,146,3176.705322
1.938,125,3180.010748
-4.111,180,3184.815623
12.807,124,3188.121367
-6.019,158,3192.278339
9.642,118,3195.250333
-3.628,166,3440.192049
13.519,120,3443.356108
5.939,157,3447.504106
9.012,147,3451.315304
9.241,114,3454.302469
10.824,174,3458.818589
-4.352,153,3462.756469
8.641,150,3466.590095
7.21,139,3470.297925
7.511,134,3473.760462
-3.595,155,3477.759733
5.009,139,3481.343037
1.486,139,3485.048123
-14.89,151,3489.101858
13.07,125,3732.321948
-6.301,172,3736.85595
2.313,154,3741.015912
11.652,106,3743.893108
5.599,130,3747.226651
11.24,172,3751.717788
5.471,152,3755.544152
4.196,132,3759.011091
-4.093,157,3763.122443
5.066,151,3767.041842
2.877,150,3770.97733
-2.547,143,3774.681487
3.226,138,3778.379142
11.178,117,3781.406052
5.555,171,4024.424455
8.125,137,4027.913163
6.224,139,4031.51385
11.608,142,4035.315046
10.559,134,4038.916078
13.063,122,4042.141343
9.866,144,4046.05181
10.766,157,4050.13735
7.071,123,4053.289862
6.981,132,4056.747409
-0.128,139,4060.406617
-8.642,120,4063.411596
10.674,143,4067.097832
5.942,162,4071.160122
-42.962,136,4074.660406
6.266,132,4318.021464
9.616,119,4321.147945
11.834,151,4325.182756
-8.728,135,4328.706737
-15.536,183,4333.575592
10.892,126,4336.948376
4.792,131,4340.301129
-3.455,138,4343.919187
-15.451,183,4348.845732
6.323,130,4352.319544
11.924,127,4355.711775
5.542,161,4359.944493
4.214,143,4363.689731
3.852,180,4368.546284
9.767,116,4611.893034
-13.953,180,4616.434678
12.93,137,4620.054163
0.402,121,4623.176178
7.849,134,4626.684057
-4.455,167,4631.030136
8.055,141,4634.732472
6.765,141,4638.418201
9.804,158,4642.725214
4.921,129,4646.137075
12.785,134,4649.475134
11.0,126,4652.742117
12.824,119,4655.832944
13.359,162,4660.036273
10.925,111,4904.389305
12.95,129,4907.969736
8.685,144,4911.596747
5.376,149,4915.600125
8.436,132,4918.989425
10.579,126,4922.314849
12.93,119,4925.592995
9.405,134,4929.043147
10.866,142,4932.853491
7.604,148,4936.652641
11.213,137,4940.279211
5.626,113,4943.34669
13.141,144,4947.188796
9.249,149,4951.157929
8.353,134,4954.760073
6.008,157,5202.024663
13.193,117,5205.089447
7.955,124,5208.458171
10.264,123,5211.723111
2.707,136,5215.24883
3.068,127,5218.587003
-1.901,185,5223.392504
-19.502,164,5227.810333
10.888,131,5231.200622
1.341,148,5235.118629
3.508,142,5238.947328
-1.683,139,5242.438483
0.075,186,5247.216875
9.123,109,5250.059894
9.132,142,5253.791721
5.84,142,5501.978396
4.657,166,5506.23046
7.959,112,5509.013186
6.754,140,5512.702235
-1.34,132,5516.13939
11.807,139,5519.8261
3.376,131,5523.331475
7.41,168,5527.847652
8.794,126,5531.137692
8.685,145,5534.946696
-21.804,181,5539.858275
-5.421,156,5544.01696
3.746,137,5547.73116
9.842,136,5551.31347
10.193,133,5799.779266
10.314,150,5803.574188
-26.481,151,5807.621016
8.195,118,5810.681587
10.562,115,5813.680073
10.088,117,5816.665568
5.803,151,5820.649374
12.169,140,5824.241513
13.872,120,5827.412083
12.489,129,5830.833418
-4.359,136,5834.482954
-12.386,142,5838.246213
8.785,119,5841.352099
-4.849,181,5846.133662
3.293,158,5850.538682
3.541,163,6098.049003
11.132,118,6101.014457
12.693,143,6104.796052
10.565,116,6107.873582
7.909,145,6111.722545
13.606,147,6115.50448
7.015,125,6118.802176
-11.697,108,6121.716229
7.143,137,6125.23038
1.264,112,6128.170765
12.381,134,6131.629455
5.295,138,6135.261775
9.094,134,6138.931115
13.395,119,6142.088191
9.798,137,6145.679485
12.183,139,6149.396951
10.28,132,6397.909392
7.227,151,6401.925789
7.86,165,6406.235744
13.001,127,6409.644186
10.836,112,6412.682554
11.48,131,6416.059552
10.171,135,6419.635964
12.319,143,6423.541233
10.471,130,6426.986422
3.396,168,6431.557338
10.098,133,6435.072326
13.924,135,6438.652084
5.35,151,6442.586441
11.184,126,6445.972902
12.45,106,6448.749445
-4.761,148,6698.913913
10.26,127,6702.387746
10.465,122,6705.648923
9.056,148,6709.588757
11.152,179,6714.357752
12.32,125,6717.627491
9.213,126,6720.955448
9.371,134,6724.548872
10.089,137,6728.158755
11.219,121,6731.31617
1.564,186,6736.122954
-0.353,136,6739.949243
11.806,127,6743.221347
11.555,136,6746.879689
10.224,145,7000.920638
7.302,149,7005.108298
7.174,151,7009.186033
0.085,148,7013.134871
11.106,119,7016.217539
11.793,128,7019.753688
3.42,167,7024.118847
11.468,134,7027.782516
7.873,126,7031.237633
15.213,116,7034.387643
14.736,127,7037.706266
5.482,145,7041.477469
10.236,150,7045.45407
10.291,146,7049.361525
9.325,157,7053.48139
6.576,183,7309.393594
13.263,136,7312.998672
13.53,109,7315.912795
13.253,115,7318.895338
15.073,128,7322.290315
9.441,140,7326.095559
10.167,123,7329.333262
9.632,112,7332.412357
8.282,124,7335.659044
1.25,134,7339.263065
5.287,122,7342.402402
6.995,114,7345.392933
9.757,136,7349.054569
6.225,173,7353.631536
5.731,116,7356.817894
11.683,137,7360.419017
13.432,118,7616.991385
-0.948,163,7621.275829
12.802,128,7624.625187
13.901,129,7628.109363
9.486,147,7632.069919
11.087,155,7636.219051
11.69,135,7639.85652
8.191,177,7644.49464
16.074,117,7647.552022
13.023,158,7651.907932
5.582,126,7655.426517
15.849,147,7659.495454
9.856,134,7663.096349
13.152,135,7666.68175
9.269,153,7924.807523
1.34,140,7928.50837
11.074,138,7932.185058
9.575,147,7936.099557
8.408,146,7939.987671
8.278,137,7943.60975
10.821,133,7946.976651
12.381,134,7950.483497
8.665,127,7953.969596
9.527,153,7958.149689
14.291,145,7962.093373
0.533,170,7966.740276
13.766,131,7970.273856
2.71,137,7974.044474
15.387,122,7977.27099
9.947,130,8237.057494
6.399,150,8241.069826
6.6,144,8244.911804
5.664,131,8248.47754
14.048,140,8252.193946
12.917,130,8255.828351
10.662,126,8259.287022
8.258,118,8262.42216
8.93,133,8265.937326
-1.757,145,8269.952033
9.066,114,8273.027085
11.539,144,8276.884176
13.53,127,8280.311513
7.711,142,8284.096485
12.806,142,8287.798833
6.638,121,8547.692791
12.049,141,8551.467238
10.286,137,8555.219542
7.101,155,8559.493643
10.453,130,8563.024859
12.596,128,8566.310074
14.316,117,8569.410319
11.684,125,8572.822275
11.401,131,8576.372356
13.744,162,8580.692712
5.626,121,8583.86091
0.195,141,8587.706459
4.656,158,8591.986028
11.973,123,8595.353443
11.251,118,8598.711434
8.366,147,8859.54695
12.219,129,8863.083776
-3.314,177,8867.852259
12.571,120,8871.125374
11.677,124,8874.415611
8.018,149,8878.434355
4.234,152,8882.62342
13.688,116,8885.747729
6.935,145,8889.685776
11.833,122,8892.962535
-11.405,173,8897.591738
6.876,173,8902.301143
16.362,123,8905.551655
8.908,125,8908.854672
10.915,136,8912.534575
13.401,118,9169.546746
10.064,113,9172.536377
5.555,148,9176.617789
12.964,130,9180.156715
12.209,116,9183.31628
3.582,138,9187.145413
