#{"t_start": 1767038183.5206788, "env_id": "None"}
r,l,t
-91.666,162,6.921024
-59.804,171,9.807527
-29.529,175,12.807424
-34.11,181,15.570388
-59.527,215,18.469201
-41.712,156,20.394911
-77.291,212,23.169066
-78.228,171,25.462586
-88.241,172,27.700161
-34.798,165,29.725167
-82.507,185,32.03207
-91.7,197,77.705903
-50.452,182,80.134197
-37.801,189,82.434805
-48.426,172,84.540761
-68.363,198,87.141371
-66.474,169,89.210487
-41.149,193,91.707917
-32.728,193,94.090833
-87.783,196,96.673682
-57.716,191,98.973673
-105.337,194,101.329888
