#{"t_start": 1766322343.289472, "env_id": "None"}
r,l,t
-0.858,152,11.519864
-3.265,120,16.994942
8.755,129,21.683891
-7.585,160,27.211189
5.642,135,31.117634
-9.599,150,35.669318
1.709,135,39.121114
3.403,141,42.562698
-10.153,132,46.184853
10.865,119,49.278094
-33.196,175,53.90999
2.784,119,57.011958
-12.029,155,61.136168
6.269,129,64.483504
-3.752,146,296.230875
4.538,141,299.811227
-7.94,167,304.116835
0.53,132,307.518654
-0.276,158,311.603306
-6.356,161,315.658434
-2.147,136,319.093752
-20.841,183,323.678506
-4.626,166,327.972644
7.521,144,331.800292
5.859,141,335.301358
-3.865,180,339.943048
-5.807,137,343.40834
7.177,127,346.745216
-12.746,147,580.069846
-6.603,172,584.54794
3.267,134,587.905884
1.64,162,592.126081
-27.833,168,596.397605
-1.041,142,599.963427
1.121,125,603.201626
6.406,160,607.393699
-30.854,166,611.705788
6.912,125,614.855173
6.389,138,618.471984
-32.844,174,622.956923
-1.51,137,626.54998
-10.69,197,860.578873
-15.821,169,864.881834
-31.842,207,870.188964
-1.486,141,873.72177
3.3,144,877.354533
-16.818,184,881.959087
2.083,175,886.363284
-9.576,160,890.59273
2.836,126,893.82168
-0.393,150,897.647353
-3.965,170,902.01932
6.529,127,905.371258
1.281,149,909.229648
-5.459,148,1140.978509
-15.987,191,1145.93404
-2.901,129,1149.13904
-4.187,141,1152.678386
-9.193,145,1156.349372
-22.86,149,1160.214485
6.384,122,1163.336523
-19.099,178,1167.991924
2.082,144,1171.588963
2.226,129,1174.931947
9.667,131,1178.283395
1.997,139,1181.763852
-4.933,162,1185.996995
-7.442,158,1189.959869
-5.736,153,1422.461279
6.727,151,1426.281188
-20.285,181,1430.836521
-33.274,189,1435.636082
-0.488,139,1439.299158
6.048,139,1442.734194
-5.194,182,1447.505754
-16.314,175,1452.081119
-6.94,153,1456.046037
1.789,146,1459.751222
-3.873,125,1462.810767
8.812,150,1466.657672
-14.438,174,1471.137449
3.684,120,1706.416873
11.563,125,1709.693696
3.013,154,1713.606541
8.237,154,1717.501535
-3.717,141,1721.083928
6.423,133,1724.539835
-1.644,186,1729.302657
12.052,142,1732.967955
0.278,134,1736.285426
-12.021,145,1739.911927
-48.71,229,1745.866693
7.627,118,1748.942439
4.109,156,1752.805105
13.673,115,1755.709205
-10.568,142,1991.611742
4.993,149,1995.453143
-5.909,169,1999.809696
5.784,126,2003.031592
-9.812,147,2006.927912
10.894,160,2011.185239
5.192,135,2014.796551
2.434,181,2019.547561
-26.807,226,2025.235173
7.954,122,2028.256732
7.886,136,2031.676733
13.897,115,2034.764687
-8.078,148,2038.588184
-1.272,139,2277.290816
9.522,135,2280.8159
-0.771,126,2284.136847
2.98,181,2288.807678
8.01,135,2292.394815
12.554,131,2295.639884
-4.371,181,2300.272251
2.117,158,2304.355739
11.324,138,2307.853094
6.741,161,2312.04247
-0.34,156,2316.060908
0.542,175,2320.692249
8.782,118,2323.69327
0.841,184,2328.476199
10.134,128,2567.172571
-2.387,146,2570.829398
-14.203,151,2574.668687
-1.207,142,2578.243172
4.328,166,2582.490677
-40.453,162,2586.762696
11.69,130,2590.070164
5.328,125,2593.215636
9.836,138,2596.690675
7.42,116,2599.762902
3.253,133,2603.149038
5.985,149,2607.029401
4.188,138,2610.480831
-5.073,171,2614.849071
-9.39,147,2854.737692
4.231,142,2858.410323
10.89,139,2862.068689
9.437,163,2866.473228
2.058,148,2870.408
5.736,138,2873.906161
