#{"t_start": 1766245149.8883235, "env_id": "None"}
r,l,t
-18.391,179,2.505119
-23.973,188,3.702042
-50.327,215,4.969093
-27.191,178,6.036561
-24.05,212,7.741879
-52.144,175,9.308872
-12.474,175,10.755528
-17.404,174,11.861402
-54.437,221,13.340972
-31.776,205,14.625743
-17.078,189,127.340965
-26.404,184,128.544928
-23.733,244,130.010148
-36.57,188,131.248628
-14.977,209,132.633901
-7.024,180,133.819829
-19.25,183,134.993388
-7.943,176,136.164519
-8.852,190,137.372603
-41.774,188,138.588172
-31.889,176,139.717711
-3.207,174,262.577073
-15.202,178,433.677878
-52.58,199,633.445626
-17.029,167,803.326138
-24.439,207,1013.088794
-25.943,188,1211.73323
-29.555,201,1411.315974
-23.115,203,1614.989359
-10.979,173,1786.205196
-20.252,188,1981.62514
-6.752,161,2141.493474
-16.282,168,2390.64405
-16.955,176,2568.921103
-40.968,187,2758.341142
-26.467,199,2958.569251
-20.769,233,3188.029184
-24.592,192,3381.725203
-16.995,177,3553.592956
-18.933,216,3769.801253
-6.614,189,3951.357088
-11.78,188,4142.613439
-43.179,187,4331.537176
-38.951,214,4638.185359
-40.015,171,4819.36155
-46.833,202,5024.500314
-25.087,194,5227.237005
-22.465,185,5412.545331
-40.001,213,5619.133395
-23.377,206,5827.20127
-17.182,190,6018.293126
-11.933,179,6201.281499
-27.771,191,6396.057075
-22.759,168,6642.905469
-19.616,180,6827.665235
-32.526,173,7005.885198
-10.874,194,7200.517208
-17.014,187,7389.865834
-33.45,181,7565.937442
0.121,192,7753.369352
-9.99,178,7934.645566
-50.628,185,8123.497214
-12.154,182,8312.949288
-6.988,177,8494.157449
-21.268,193,8764.911088
-21.646,209,8980.549258
-57.565,143,9130.317526
-17.974,192,9327.114459
-14.817,198,9521.477114
-27.127,187,9701.949441
3.407,151,9858.061283
-4.325,185,10039.720319
-17.036,214,10261.869328
-12.701,191,10452.913196
-27.818,172,10624.902595
-25.033,163,10782.225912
-28.228,193,11053.169106
-24.121,175,11231.484985
2.275,212,11445.189682
2.918,182,11636.762186
-21.174,194,11837.257683
-11.915,186,12027.129721
-59.811,176,12201.06635
-8.101,156,12366.961466
-41.79,190,12566.429248
-28.599,180,12752.785192
-14.919,186,12948.337083
-9.125,177,13206.100811
-32.045,207,13416.481316
-26.776,182,13601.493091
-12.316,184,13795.86145
-4.697,198,13994.744118
-14.618,172,14169.067346
-21.265,179,14353.145561
-14.181,191,14544.065308
-27.838,199,14743.862917
-57.207,178,14936.664589
-18.258,229,15254.209287
-29.649,214,15482.873149
-27.358,205,15704.176834
-20.441,146,15860.050557
-24.446,181,16041.984982
-6.508,170,16212.753111
-10.06,183,16404.557101
-22.734,140,16554.493235
-4.868,181,16744.033296
-8.203,184,16934.488967
-34.508,180,17124.409226
-24.549,223,17359.237324
4.027,156,17603.113468
-4.479,177,17784.377086
-4.366,175,17967.289222
-32.187,172,18141.903409
-12.085,188,18339.617117
-13.572,184,18534.853463
-6.302,190,18741.745319
-22.544,200,18953.181119
-4.649,157,19117.461066
-33.136,187,19311.781267
-22.262,176,19487.085639
-12.794,178,19749.805061
-11.112,204,19963.416618
-39.45,188,20155.318072
-14.118,205,20362.757506
-3.46,173,20549.569669
-4.432,192,20745.90137
1.461,196,20948.461196
-16.635,205,21167.641925
-13.892,171,21346.942471
-40.174,200,21539.937315
-24.792,195,21743.249103
-16.735,184,22012.549075
-8.026,191,22207.815986
-2.47,222,22433.385152
-12.03,160,22600.285302
-2.528,174,22781.089132
-15.398,170,22959.809561
3.289,162,23123.429482
-13.752,189,23318.521146
5.615,148,23471.645156
5.568,162,23644.661244
-18.914,199,23853.69308
-9.876,203,24151.584988
-3.069,179,24334.781151
-14.964,214,24552.291075
2.628,188,24752.485321
-10.186,190,24949.4452
4.347,153,25108.813103
-8.263,185,25298.773566
-0.13,159,25460.745064
-0.837,191,25653.633011
-0.841,177,25839.053199
-36.174,204,26035.900338
0.892,204,26325.385453
-47.535,188,26528.137478
-9.134,173,26708.764963
-47.734,207,26926.081167
-12.022,185,27114.641323
-21.828,195,27318.889128
-3.213,181,27510.163321
-10.423,151,27663.652997
-30.304,186,27860.213216
-19.698,184,28048.481336
-10.274,161,28218.957231
-17.046,182,28492.243607
-8.179,202,28703.741472
-11.045,188,28894.662168
-30.942,203,29106.537193
-8.964,217,29338.145149
-21.958,164,29512.313338
-8.801,179,29697.261321
-48.602,216,29917.569088
-45.878,187,30114.373741
-14.113,172,30296.940954
-16.327,188,30496.793098
1.381,141,30736.15388
-21.277,175,30918.769192
-4.045,170,31095.789417
-5.645,175,31290.173141
-3.254,180,31484.669361
-37.593,189,31674.337301
-19.328,207,31888.441355
-5.495,180,32082.465982
-38.273,196,32283.841133
-13.648,208,32504.221105
-16.75,186,32703.563773
-4.533,183,32984.90535
-14.546,174,33169.653237
1.949,160,33335.069106
3.312,170,33505.489307
5.143,159,33668.909441
-10.024,190,33871.213216
-8.392,192,34077.581134
-25.477,164,34253.769242
-24.383,165,34428.08542
-8.741,180,34618.829083
-4.725,178,34809.709027
-7.689,167,34984.065365
7.732,185,35260.017288
-12.863,181,35448.929011
-23.465,193,35647.233276
-10.989,185,35842.277526
-27.462,166,36016.029363
3.568,163,36194.409145
-1.103,173,36382.181079
1.684,170,36558.553256
-2.276,191,36766.699197
-17.89,186,36960.723655
-55.216,192,37161.413105
-6.254,159,37330.117709
-14.982,165,37588.441279
-3.166,195,37790.872829
-55.885,193,37987.507206
-5.94,154,38153.645146
-11.611,173,38335.127227
-33.693,198,38539.369386
-12.775,191,38741.081095
-8.335,177,38926.577199
-7.644,185,39123.22927
-11.273,172,39308.089107
-20.946,157,39470.073663
0.227,198,39766.377127
-3.757,160,39935.205481
-23.53,161,40109.765052
-27.063,154,40273.925337
-20.443,174,40460.017183
-4.072,167,40629.841195
-3.075,185,40829.052998
-19.539,193,41040.001474
-2.287,182,41236.881053
-3.694,190,41438.469515
-5.606,196,41646.16514
-3.0,177,41842.621325
2.55,145,42079.349044
-37.947,192,42289.725155
-13.699,156,42460.837533
-12.341,177,42653.892473
-28.764,203,42872.76128
-21.818,160,43046.833961
-20.529,181,43241.593282
-4.135,200,43452.849206
-19.205,193,43653.469425
-12.632,185,43851.689296
1.484,184,44051.117208
-4.928,188,44330.633297
-13.465,153,44496.24102
8.519,178,44691.353374
-11.304,169,44869.749385
-49.155,157,45033.581399
-11.378,205,45250.977945
-15.463,170,45438.793169
-9.971,167,45613.928969
3.838,199,45821.577096
9.018,170,45999.209452
-3.653,162,46171.045291
-8.601,161,46346.969003
6.811,143,46592.297366
-10.044,163,46779.245198
-13.765,166,46961.34502
-0.552,197,47169.092962
-19.636,177,47363.965075
-16.612,173,47553.689295
-22.669,167,47731.621275
8.195,180,47930.615811
-10.935,146,48088.945253
8.787,123,48220.057708
6.678,177,48412.705332
-13.748,176,48613.409142
-18.227,170,48897.109042
10.048,175,49086.788966
5.395,198,49305.397224
-3.178,163,49480.02114
-13.767,191,49682.145309
2.781,179,49883.405074
-0.811,170,50065.729301
-29.586,169,50242.834109
-9.406,189,50446.173083
1.79,154,50626.261154
-18.034,156,50793.157277
-38.172,192,51007.505137
-12.595,187,51297.385329
-8.51,171,51467.873799
-9.241,151,51631.961233
9.666,122,51767.97572
-18.698,167,51954.529144
-11.062,177,52148.733212
-22.92,206,52375.881206
-11.1,162,52552.161178
-37.315,162,52731.949242
3.029,154,52903.08508
-1.549,185,53093.865008
-10.799,176,53288.989189
-52.919,188,53570.035307
3.484,201,53789.013462
-16.038,163,53973.239244
-10.872,194,54177.617017
-21.984,156,54347.281111
-3.846,159,54514.141206
-9.004,162,54696.757102
-7.8,164,54872.164753
-7.963,140,55018.312989
-29.87,151,55181.645134
-13.21,156,55347.553597
-0.392,168,55526.573307
-1.35,167,55793.068303
-25.338,160,55972.601513
1.209,154,56144.493252
-10.536,172,56340.487672
-9.821,187,56543.29694
-0.625,176,56736.92519
-27.871,131,56879.633099
-1.18,161,57055.02941
-7.303,162,57227.157439
-4.858,172,57409.265446
-30.574,178,57601.67877
-5.673,183,57796.357243
-19.425,189,58004.225094
-1.209,166,58270.401066
10.528,162,58447.12116
9.083,163,58628.133123
-9.952,166,58810.017339
-33.102,171,58989.172962
-15.351,173,59180.720257
2.721,196,59398.389133
3.719,177,59598.753262
6.197,148,59764.219611
-17.209,189,59961.633054
3.413,182,60155.757074
-15.106,168,60421.117098
5.779,133,60573.345235
5.223,161,60760.529275
6.01,141,60915.337134
-0.249,161,61099.549451
12.545,168,61287.141277
-27.325,185,61498.437191
5.099,139,61654.241026
7.104,178,61859.773098
5.689,142,62014.445059
10.108,160,62203.957156
-3.155,156,62377.81298
-17.494,185,62587.941037
-15.24,198,62899.561068
-3.897,166,63087.641187
-27.758,187,63300.489084
0.38,143,63465.637121
5.616,147,63634.509077
-12.811,182,63846.309326
3.306,174,64046.503071
-4.783,184,64252.893117
-8.28,174,64445.549135
-6.151,164,64631.53312
2.604,160,64819.205093
3.798,165,65007.757464
-13.836,211,65323.385929
-12.013,192,65542.817484
4.453,167,65728.837299
0.977,171,65912.537308
7.413,153,66091.877204
-1.24,172,66282.097145
0.746,162,66452.853263
6.107,150,66613.625053
1.691,189,66823.429152
1.349,141,66977.697222
3.926,165,67160.401395
5.628,153,67323.622986
-22.323,183,67606.885395
-1.229,170,67802.542533
5.649,143,67962.585166
-1.654,168,68156.005193
-2.563,139,68312.161102
5.885,134,68465.937087
-23.668,160,68647.0612
-40.053,158,68830.605447
-23.714,174,69024.809111
-10.166,188,69235.323605
8.639,184,69441.317382
-9.59,183,69644.141196
-2.387,173,69836.264939
-11.363,134,70075.973512
6.027,146,70247.381115
-6.33,176,70452.021116
7.749,152,70623.061294
3.57,141,70781.949283
3.297,151,70948.625195
-2.423,141,71106.921046
5.055,152,71284.185055
-7.063,182,71493.749422
-12.214,147,71663.405502
-10.312,173,71860.895066
-28.791,163,72044.009212
1.257,147,72205.405052
5.277,153,72471.085149
7.084,180,72673.645434
-11.846,203,72908.897486
14.116,166,73096.153336
-4.977,162,73281.68123
-11.727,154,73449.334234
1.044,159,73627.313037
10.78,149,73798.008303
9.643,175,73994.645191
3.351,176,74198.281288
12.571,159,74377.469494
-10.588,145,74540.297522
-25.589,185,74837.297148
0.143,154,75013.597017
8.411,148,75180.533258
-56.966,221,75433.593103
11.197,138,75598.635734
-0.858,139,75760.373116
3.897,157,75949.249283
1.353,167,76143.137155
