#{"t_start": 1766245149.8279579, "env_id": "None"}
r,l,t
-44.681,171,2.472694
-26.964,174,3.581538
-20.611,178,4.662113
-32.777,194,5.840097
-37.079,195,7.163769
-38.527,173,8.785469
-27.509,154,10.073821
-39.633,185,11.453938
-38.554,182,12.649107
-26.495,190,13.874555
-44.994,188,15.077321
-6.639,180,127.72761
-8.179,196,129.018206
-10.467,179,130.069033
-35.51,183,131.284115
-5.37,181,132.481441
-24.545,202,133.793712
-28.15,194,135.052323
-28.011,162,136.143568
-6.704,185,137.328684
-30.618,200,138.600722
-28.105,200,139.874685
-21.242,179,278.952181
-24.928,172,448.493618
-2.024,179,630.277853
-39.007,179,810.421643
-29.927,213,1026.777417
-35.371,193,1231.677325
-26.263,190,1418.609602
-31.322,181,1601.645634
-24.806,210,1811.429891
-59.51,181,1996.653767
-28.363,173,2169.15218
-21.724,178,2427.749631
0.036,173,2602.781536
-10.769,190,2797.290507
-13.063,196,2993.462368
-27.732,199,3190.360253
-8.734,181,3371.999956
-26.785,166,3533.593899
-24.833,202,3732.780145
-34.835,197,3925.869506
-19.138,190,4116.263669
-10.999,178,4297.341682
-30.238,168,4548.609436
-3.522,180,4740.901275
-12.613,167,4918.82176
-21.22,195,5113.413637
-39.204,184,5310.340293
-47.855,206,5506.397876
-0.653,180,5688.437827
-26.844,206,5897.053372
-8.456,198,6096.477452
-41.276,203,6303.721366
-9.131,205,6507.669682
-18.147,166,6756.005431
-18.405,151,6912.973603
-21.852,197,7112.161453
-0.972,195,7307.505632
-13.078,181,7487.193594
-28.375,177,7659.145528
-13.472,187,7847.397402
-14.313,189,8035.379697
-11.96,158,8204.493539
-10.44,178,8389.434135
-5.77,176,8562.641647
-6.797,179,8820.35339
-17.735,159,8987.441727
-24.715,179,9177.185394
-29.439,162,9341.201916
-9.935,178,9514.885643
-50.403,175,9682.156292
-23.841,216,9905.982799
-33.378,194,10098.105654
-39.008,189,10292.713575
-47.631,212,10504.479601
-8.573,187,10689.809508
-15.723,211,10971.245748
-10.676,192,11169.973725
-23.988,186,11354.897718
-4.121,181,11543.561875
-12.673,173,11724.98156
-30.279,203,11930.277519
-37.815,169,12105.321645
-11.407,161,12268.414222
-26.952,221,12499.913567
-15.546,174,12678.873603
-9.327,150,12838.229885
-16.535,176,13100.065756
-32.851,203,13303.819681
-21.721,162,13468.21857
-12.52,181,13654.749518
-13.042,163,13825.625597
-2.017,189,14015.126542
-41.629,220,14236.689521
-21.802,204,14447.399496
-31.7,186,14630.040175
-26.579,201,14842.065817
-21.121,193,15045.617538
-57.712,211,15347.237541
-7.05,164,15519.721564
-44.275,165,15699.033708
-10.87,215,15930.232016
-5.194,173,16099.225785
-8.633,155,16260.609585
-37.12,168,16434.641614
-6.926,184,16627.989585
-15.427,191,16830.705638
-45.005,206,17044.345858
-2.752,169,17220.285555
1.809,196,17512.090021
-23.799,190,17706.549611
-44.166,182,17894.017583
-16.905,183,18079.705601
-1.446,185,18271.973895
-18.51,179,18461.457856
-30.972,193,18672.700126
-31.403,183,18867.973472
-11.155,162,19038.618344
-11.351,197,19245.221477
-5.527,182,19427.36536
-27.546,198,19710.369699
-22.202,215,19933.765611
-32.107,185,20122.12939
-25.332,160,20284.817362
-8.175,224,20521.062545
-43.537,188,20716.745538
-25.591,195,20917.539516
-6.078,166,21093.681182
-6.843,188,21291.65755
-13.09,187,21475.833664
-39.768,232,21715.353674
-45.051,213,22012.659877
-21.412,193,22210.007
-26.892,221,22435.930651
-30.749,198,22641.920873
-4.672,153,22800.913577
-39.088,199,23006.256435
-27.684,180,23190.197565
3.91,158,23355.513639
-2.292,207,23571.489678
-12.944,170,23748.914885
-16.975,186,23948.565522
-7.623,165,24202.229483
-34.729,195,24403.201515
-7.152,190,24596.776508
-30.978,174,24782.101335
-7.651,202,24991.161781
-9.714,164,25162.581551
-11.892,158,25324.956908
