#{"t_start": 1767038183.510784, "env_id": "None"}
r,l,t
-79.95,187,7.731992
-83.071,172,10.417833
-132.615,200,13.772176
-134.548,200,16.573048
-122.853,192,19.14475
-107.08,162,21.137833
-215.764,179,23.473386
-96.686,185,25.961403
-35.78,160,27.990415
-64.267,185,30.283362
-74.832,216,32.941181
-176.69,197,78.736557
-85.661,193,81.281641
-147.362,221,83.872028
-42.853,207,86.490705
-119.933,234,89.455435
-46.032,196,91.97925
-83.188,191,94.370182
-137.553,217,97.189273
-79.494,187,99.415335
-68.85,175,101.561293
