#{"t_start": 1766874618.7362604, "env_id": "None"}
r,l,t
-30.194,204,9.654387
-23.899,167,10.762163
-42.386,188,12.105796
-15.456,183,13.366703
-33.233,196,15.066159
-26.475,192,17.089504
-35.242,162,18.366262
-29.758,180,19.652112
-18.267,162,20.836955
-17.386,164,21.893201
-29.821,169,23.069621
-25.874,182,234.09418
-9.143,180,235.306922
-37.883,182,236.548352
-31.599,194,237.904023
-8.947,177,239.197672
-25.034,172,240.44364
-30.76,203,241.864322
-24.048,201,243.241448
-36.132,185,244.603019
-32.443,200,245.966831
-48.932,171,247.158517
-1.767,172,474.042202
-45.74,152,484.386362
-20.029,192,489.055429
-3.87,166,493.119954
-67.285,192,497.642694
-20.743,163,501.576222
-12.368,162,505.580791
-72.456,182,509.981567
-14.369,182,514.29135
-5.646,161,518.316623
-2.744,177,522.562613
-33.564,198,527.592718
-22.275,166,744.89535
-42.907,171,748.94186
-20.624,177,753.22741
-25.202,182,757.701971
-4.837,180,762.086328
-16.913,162,766.031774
-41.336,186,770.544289
-12.312,179,774.945575
-29.512,152,778.696189
-54.085,163,782.477116
-37.527,177,786.76149
-22.155,166,790.599345
-24.382,157,1010.804926
-21.779,178,1016.373742
-29.063,161,1020.778475
-18.024,165,1024.863949
-23.576,186,1029.45238
-20.811,162,1033.508593
-8.073,177,1037.849264
-2.207,158,1041.764522
-17.426,150,1045.509645
-32.29,180,1049.854051
-26.063,171,1053.890707
-22.919,202,1058.933474
-17.615,156,1277.540736
-19.814,178,1281.91727
2.833,169,1285.938756
-21.187,172,1290.203025
-25.459,166,1294.175925
-25.92,182,1298.416464
-3.905,168,1302.456872
-34.147,182,1306.970346
-5.465,153,1310.677956
-16.416,175,1315.043802
-36.147,197,1319.793103
-21.988,173,1539.15399
1.052,190,1546.5543
-51.251,174,1551.900481
-14.32,190,1556.729791
-4.403,181,1561.34432
-32.472,170,1565.49579
-7.986,150,1569.148769
-73.244,212,1574.326837
-16.32,176,1578.584879
-33.793,193,1583.195819
-15.852,175,1587.347998
-37.607,161,1591.229393
-61.442,205,1814.201531
-14.969,178,1818.724562
-5.168,152,1822.43967
-31.824,211,1827.566407
-34.762,170,1831.737785
-15.51,181,1835.96442
-15.119,167,1839.904917
-16.407,153,1843.64023
-37.075,185,1848.087382
-19.867,186,1852.585139
-40.798,192,1857.337266
-20.476,166,2080.41845
-26.837,179,2086.459164
-31.139,168,2091.902793
-6.784,160,2096.194031
-53.114,193,2101.469855
-22.23,170,2105.812224
-23.787,161,2109.616551
-18.712,184,2114.052328
-12.257,152,2117.751945
-31.769,209,2122.736536
-23.174,175,2127.006963
-28.027,201,2131.947518
-22.446,176,2353.760996
-48.121,203,2358.561323
-14.931,211,2363.56782
0.464,195,2368.278591
-17.967,203,2373.248878
-49.49,169,2377.525259
-9.635,157,2381.218063
-8.642,158,2385.062001
-13.597,137,2388.376537
-9.593,177,2392.533581
-6.127,161,2396.326025
-32.51,182,2620.354517
-7.47,183,2624.825581
-21.324,182,2629.272169
-24.043,193,2633.956935
-30.219,170,2638.123699
-35.392,201,2642.981918
-26.166,187,2647.493746
-23.687,181,2651.912724
-36.277,185,2656.251182
-8.168,163,2660.130432
-14.863,148,2663.752623
-12.099,174,2668.012031
-3.64,154,2889.604296
-20.252,194,2894.380293
-38.473,166,2898.440093
-25.996,174,2902.659824
-18.766,169,2906.748191
-22.107,160,2910.61939
-24.365,201,2915.387725
-55.91,194,2920.140227
-23.382,181,2924.58365
-20.447,198,2929.327735
-17.301,143,2932.75222
-17.664,194,3157.035399
-19.007,160,3160.873046
-29.543,179,3165.102666
-10.736,154,3168.946903
-26.496,176,3173.317642
-11.048,200,3178.180561
-10.476,168,3182.159676
-6.482,166,3186.144253
-32.102,158,3189.887372
-8.908,208,3194.998192
-22.527,177,3199.438154
-8.386,165,3203.374054
-30.798,203,3426.077144
-9.26,182,3430.55277
-16.792,140,3433.905289
-1.927,176,3438.193422
-0.151,191,3442.725275
-27.752,172,3446.833026
-28.134,194,3451.596906
-48.048,169,3455.713472
