#{"t_start": 1766874618.739301, "env_id": "None"}
r,l,t
-21.288,166,9.366264
-35.093,174,10.525797
-51.655,176,11.748133
-24.494,175,12.967359
-20.193,153,14.001762
-20.262,187,16.111748
-44.488,214,17.994671
-9.866,144,19.029005
-32.405,204,20.50254
-25.77,143,21.465326
-40.396,169,22.597435
-36.562,226,233.972086
-25.181,191,235.249709
-22.586,161,236.329274
-24.026,187,237.639453
-60.472,218,239.236542
-44.899,171,240.481387
-42.571,161,241.578248
-17.597,195,242.923846
-31.91,190,244.308323
-29.347,172,245.480685
-27.913,163,246.62499
-26.152,186,466.240086
-70.299,191,483.895534
-25.887,197,488.64111
-28.806,163,492.672174
-34.394,196,497.323075
-19.579,168,501.333184
-26.125,148,504.959425
-24.851,156,508.822668
-28.327,178,512.984702
-21.278,166,517.169792
-35.245,182,521.491047
-24.423,190,526.237689
-8.354,169,743.713538
-47.277,203,748.485795
-32.559,192,753.163784
-28.713,185,757.730166
-12.959,175,761.989331
-1.513,169,766.106576
-29.597,164,770.079759
-18.024,199,774.964984
1.329,154,778.764698
-38.867,167,782.645715
-36.269,175,786.905549
-13.832,181,1005.118906
-28.011,164,1011.995825
-39.082,179,1017.269686
-19.643,156,1021.458627
-12.121,170,1025.576641
-14.123,192,1030.274081
-44.266,197,1035.174932
-4.785,158,1039.107759
-13.584,181,1043.570246
-29.331,208,1048.614801
-4.824,159,1052.411301
-17.517,143,1055.858793
-39.594,183,1275.234209
-7.259,198,1280.061612
-59.561,220,1285.422845
-39.857,191,1290.137076
-29.159,187,1294.633569
-53.591,183,1298.848329
-65.183,206,1303.903644
-37.313,187,1308.525709
-21.084,164,1312.502814
-15.023,159,1316.494325
-46.743,236,1321.9661
-39.235,188,1543.574544
-18.52,192,1549.956723
-30.058,173,1554.679711
-2.044,180,1559.392848
-57.115,210,1564.560915
-6.925,150,1568.169908
-23.109,161,1572.093946
-21.312,187,1576.657681
0.393,153,1580.325257
-5.533,163,1584.20377
-7.756,177,1588.457446
-19.977,152,1592.110632
0.196,187,1814.653327
-13.131,193,1819.560548
-11.603,160,1823.52266
-9.167,174,1827.691397
-8.207,186,1832.254163
-30.321,169,1836.17321
-32.804,194,1840.805111
-25.053,214,1845.981262
-12.34,130,1849.057474
-59.529,174,1853.312005
-31.577,153,1857.107072
-19.249,189,2081.237963
-7.322,182,2086.973493
-5.706,187,2092.744297
-30.568,172,2097.504498
-21.2,180,2102.318063
-27.578,210,2107.620465
-31.078,193,2112.178663
-27.953,208,2117.230909
-36.316,201,2122.05681
-19.971,174,2126.293094
-18.016,182,2130.742852
-28.709,178,2352.666613
0.526,143,2356.107076
-19.288,145,2359.458092
-30.684,176,2363.644123
-28.758,170,2367.796455
-19.359,196,2372.517062
-14.186,175,2376.945584
-35.41,175,2381.07884
-15.264,165,2385.098125
-21.302,179,2389.442913
-35.129,228,2394.784384
-17.381,185,2399.28774
-43.725,198,2623.677874
4.773,174,2627.818867
-35.77,181,2632.279402
-26.226,190,2636.963524
-19.893,172,2641.117457
-21.026,194,2645.776487
-9.728,172,2649.997982
-30.64,208,2654.966843
-23.026,216,2660.040303
-19.994,158,2663.923238
-5.274,177,2668.25781
-31.44,203,2891.077441
1.103,173,2895.260705
-7.895,148,2898.948066
-42.39,211,2904.053064
-7.236,162,2907.997638
-0.842,208,2912.944963
-11.911,165,2916.848889
-13.517,166,2921.000252
-0.523,167,2925.069149
-15.073,153,2928.691536
-18.763,178,2932.981821
-1.13,172,2937.158548
-5.548,176,3160.977241
-4.477,185,3165.33582
-20.301,169,3169.569006
-31.604,195,3174.364381
-29.054,187,3178.926708
-24.691,177,3183.125453
-16.236,165,3187.048768
-5.974,192,3191.620416
-22.047,192,3196.362976
-20.814,202,3201.381453
3.934,138,3204.784909
-45.526,169,3426.553896
-31.147,159,3430.518191
-15.907,163,3434.449439
-17.667,177,3438.695104
-31.112,174,3442.848562
-47.478,191,3447.413994
-38.535,173,3451.681117
-28.241,192,3456.358438
-14.337,162,3460.29812
-56.669,197,3465.168542
-17.552,187,3469.698701
3.693,163,3473.621595
-22.229,164,3697.460916
-8.962,155,3701.153084
-42.834,201,3706.031366
-14.896,172,3710.211017
-6.048,163,3713.99729
-32.187,189,3718.478843
-18.833,178,3722.705998
-2.143,150,3726.485629
0.409,165,3730.460332
-6.706,180,3734.793707
-14.029,164,3738.681764
