#{"t_start": 1766322343.3082676, "env_id": "None"}
r,l,t
3.127,137,10.06903
4.037,134,16.683025
3.797,149,22.171669
-7.084,150,27.46201
1.461,133,31.280261
-4.088,163,36.191341
-6.575,136,39.610723
-13.324,143,43.144959
9.097,158,47.477369
0.832,117,50.539913
-6.002,152,54.517552
3.005,132,57.975054
-3.279,152,62.027267
-4.604,177,66.628954
10.26,136,298.049266
7.875,141,301.655563
5.991,171,306.008862
-4.248,148,309.873806
5.606,161,313.941183
2.78,137,317.441914
-6.98,165,321.576908
-16.932,161,325.684607
8.91,116,328.75438
-0.961,149,332.618565
-10.187,138,336.056479
-4.028,127,339.329411
3.371,132,342.720357
-7.052,150,346.576871
-21.994,144,579.80074
-26.594,218,585.450819
-6.184,154,589.43376
-1.199,123,592.575244
-2.227,152,596.4586
2.005,163,600.593177
7.086,149,604.503142
-6.776,132,607.9034
-21.728,185,612.703953
3.222,132,616.030582
-0.443,155,620.131771
4.148,148,623.897912
4.444,135,627.49254
5.427,130,859.755533
3.456,139,863.246983
-29.35,225,869.071492
-1.518,121,872.125443
-3.491,160,876.148115
-16.204,149,879.820709
1.997,147,883.576713
10.868,124,886.668043
6.419,149,890.633573
-27.723,220,896.196064
8.366,142,899.867421
-0.413,155,903.87469
-10.632,195,909.001592
1.098,144,1140.679523
-17.826,157,1144.789074
-3.747,145,1148.39594
5.818,147,1152.020684
4.022,113,1154.910514
2.799,149,1158.753384
-5.415,159,1162.82234
7.325,124,1166.046626
7.683,146,1169.784894
-0.965,162,1173.899005
-47.151,196,1178.935584
-8.499,156,1182.894184
-9.727,141,1186.546694
5.524,140,1190.037295
-14.191,196,1423.683619
-9.564,198,1428.641266
3.014,134,1432.02977
6.885,145,1435.724769
6.922,162,1439.925439
-7.467,198,1444.966585
-0.26,179,1449.647507
3.379,127,1452.952903
4.203,129,1456.301126
-0.009,179,1460.797383
-4.499,144,1464.393247
4.428,147,1468.232154
-16.467,183,1705.110052
-1.304,202,1710.401485
-0.384,161,1714.429175
9.19,140,1717.961515
1.353,110,1720.758483
-5.867,129,1724.107649
-5.381,131,1727.485049
10.532,111,1730.319604
-5.443,166,1734.516823
5.972,157,1738.433332
6.107,118,1741.3982
-8.59,157,1745.530201
9.267,117,1748.588553
-3.577,169,1752.786193
-4.917,125,1755.917766
3.238,163,1992.37154
6.51,135,1995.850562
12.535,134,1999.341839
-28.947,161,2003.44136
10.812,123,2006.730337
8.405,142,2010.479895
6.953,116,2013.629385
5.66,159,2017.840844
8.414,131,2021.198822
7.963,161,2025.202341
-6.62,166,2029.371195
4.85,131,2032.683136
-3.946,138,2036.430067
-3.498,168,2040.662578
4.156,136,2279.353464
10.081,140,2283.004015
6.441,142,2286.751481
5.154,153,2290.701827
-5.878,186,2295.446233
8.421,127,2298.658671
-0.877,137,2302.193943
1.124,142,2305.860291
12.45,126,2309.055102
6.818,138,2312.642709
