#{"t_start": 1765546471.585175, "env_id": "None"}
r,l,t
1.0,71,7.159167
0.0,87,10.535362
0.0,83,12.721465
0.0,68,14.445213
1.0,75,16.24331
0.0,65,17.720675
0.0,73,19.604427
0.0,64,21.217798
1.0,78,23.090786
0.0,75,25.179745
1.0,78,27.048521
0.0,75,28.751727
1.0,88,30.711103
1.0,78,32.681908
0.0,87,34.878577
0.0,80,36.747784
1.0,87,38.643639
0.0,81,40.650957
0.0,69,42.315946
0.0,85,44.439529
1.0,82,46.30647
0.0,79,48.248613
1.0,90,50.648488
0.0,79,52.438499
1.0,64,54.033744
1.0,74,55.911739
0.0,74,89.481692
0.0,75,91.283914
0.0,69,93.135768
1.0,71,95.044594
0.0,73,96.875482
0.0,79,98.702899
0.0,74,100.401425
0.0,69,102.035998
1.0,75,103.840498
0.0,72,105.326845
0.0,66,107.047085
0.0,76,108.975019
0.0,68,110.516088
0.0,92,112.740403
0.0,78,114.760318
1.0,88,116.863279
1.0,79,118.736001
0.0,69,120.404369
1.0,59,121.837427
1.0,81,123.920644
1.0,80,125.859624
0.0,63,127.423917
0.0,76,129.497295
0.0,78,131.387175
1.0,67,133.076746
1.0,83,135.084315
0.0,77,136.941355
0.0,63,138.469852
1.0,90,172.160098
0.0,74,173.854855
0.0,79,175.731805
0.0,67,177.514706
0.0,70,179.165087
0.0,81,181.156968
1.0,70,182.802955
1.0,93,184.96907
0.0,69,186.638402
0.0,71,188.44587
1.0,88,190.512818
0.0,71,192.277171
0.0,66,193.878149
0.0,83,195.979327
0.0,76,197.845717
0.0,65,199.453526
0.0,82,201.346382
0.0,71,202.99022
0.0,67,204.699723
0.0,80,206.69129
0.0,76,208.540666
0.0,73,210.488429
0.0,78,212.413088
0.0,69,214.19481
1.0,73,215.988032
0.0,72,217.846447
0.0,69,219.362914
