#{"t_start": 1765546472.482347, "env_id": "None"}
r,l,t
0.0,64,5.43493
0.0,92,9.484039
1.0,60,11.198439
1.0,67,12.914344
0.0,74,14.596442
0.0,72,16.326632
0.0,58,17.643887
0.0,71,19.500472
1.0,73,21.344577
0.0,74,23.203496
0.0,74,25.1993
0.0,67,26.830109
0.0,79,28.610142
1.0,79,30.41193
1.0,78,32.385463
1.0,73,34.254266
0.0,76,35.987144
1.0,75,37.63664
0.0,87,39.764787
0.0,77,41.637531
1.0,75,43.497123
0.0,71,45.097919
0.0,71,46.87146
0.0,73,48.747061
0.0,71,50.575467
0.0,89,52.627647
0.0,75,54.538571
1.0,82,88.290461
0.0,72,90.114805
0.0,73,92.003759
0.0,67,93.690173
1.0,86,95.874333
0.0,72,97.563318
0.0,73,99.280493
1.0,71,100.962724
1.0,79,102.86808
0.0,64,104.200349
0.0,87,106.349376
0.0,79,108.322694
1.0,63,109.81255
1.0,74,111.573887
0.0,74,113.47218
0.0,74,115.317497
0.0,72,117.048491
0.0,84,118.886817
0.0,68,120.648635
1.0,76,122.53692
0.0,71,124.373931
0.0,87,126.396343
0.0,71,128.404935
0.0,73,130.211656
1.0,79,132.193584
1.0,69,133.871016
1.0,82,135.818898
0.0,78,137.691551
0.0,70,170.894178
0.0,77,172.751881
0.0,79,174.626286
1.0,67,176.350101
0.0,77,178.160776
0.0,62,179.730825
0.0,70,181.400463
0.0,75,183.127333
0.0,68,184.712802
1.0,75,186.642991
1.0,86,188.68688
1.0,70,190.377312
1.0,81,192.356047
0.0,68,193.940222
0.0,83,196.175335
0.0,70,197.795196
0.0,79,199.751321
1.0,72,201.382109
0.0,74,203.254059
0.0,65,204.859271
0.0,69,206.485851
0.0,69,208.166692
0.0,64,209.986037
1.0,76,211.767717
1.0,80,213.760122
0.0,72,215.633621
0.0,67,217.294837
0.0,73,219.029745
