#{"t_start": 1767550653.5212426, "env_id": "None"}
r,l,t
0.0,167,1.868834
2.5,198,2.58516
0.0,198,3.304203
0.5,198,4.069412
0.0,206,4.94045
0.5,173,5.627658
0.5,199,6.480894
0.0,181,7.210985
0.5,192,7.967448
0.5,196,8.810788
0.0,204,39.518901
0.5,163,49.117309
0.5,160,50.861444
3.5,205,53.186435
1.0,197,55.468964
1.0,211,57.697853
1.5,177,59.734385
1.0,212,62.293299
0.0,197,64.578846
0.5,213,66.900161
0.5,189,68.939945
1.0,180,96.612342
1.5,188,99.110154
0.5,183,101.445666
0.0,199,103.818852
4.5,219,106.35663
4.0,165,108.185407
0.5,195,110.501798
0.5,212,113.052417
3.0,184,115.155297
1.0,201,117.378085
1.5,178,119.505557
2.5,215,147.835863
0.5,178,150.046821
0.0,226,152.858121
0.0,180,155.035203
1.0,174,156.961343
0.0,206,159.495865
0.0,189,161.737004
4.5,158,163.629129
3.5,148,165.31935
2.5,170,167.462247
3.5,201,169.911091
0.5,184,197.654187
1.5,145,199.30421
0.5,223,202.029817
0.0,174,204.22576
0.5,173,206.297892
1.0,196,208.658715
4.0,143,210.334952
0.0,208,212.91468
3.5,205,215.435352
0.0,179,217.698257
4.5,133,219.295102
0.0,175,246.767519
0.5,187,249.044599
4.0,158,251.089387
3.5,168,253.112597
3.0,175,255.217448
0.0,205,257.712776
0.0,215,260.333575
2.0,244,263.112032
0.5,190,265.506995
0.5,214,268.169336
0.0,227,296.28167
1.0,169,298.634138
3.0,168,300.964916
0.5,176,303.252883
1.0,207,305.906247
2.0,198,308.335866
0.0,207,311.032433
1.0,186,313.329256
1.0,197,315.667351
0.0,192,318.120264
0.5,182,320.430552
0.0,189,348.153814
0.5,136,349.973371
0.5,202,352.689751
1.0,151,354.659873
1.0,152,356.684285
0.0,175,359.077701
0.5,191,361.604181
0.5,156,363.544626
0.5,211,366.309468
0.0,190,368.831644
0.5,185,371.136292
0.5,169,373.382851
0.5,177,400.831395
0.0,178,403.220675
0.0,125,404.845755
0.0,196,407.480226
0.0,188,409.990158
0.5,158,412.159577
0.0,161,414.128945
0.5,174,416.40357
3.0,150,418.404686
4.0,140,420.19322
0.5,200,422.790959
1.5,163,424.82478
3.5,148,451.812246
0.0,200,454.488092
1.0,163,456.597383
2.0,177,459.003658
0.0,158,461.08033
2.5,140,462.979003
3.0,146,464.839111
0.0,211,467.627212
0.0,203,470.386959
2.0,152,472.38139
2.5,153,474.400105
2.5,166,476.445925
0.5,189,503.724834
4.5,134,505.696446
0.0,174,508.013551
3.0,140,509.784397
0.0,171,512.055593
2.5,151,514.084401
2.0,176,516.534599
0.0,181,518.876037
0.0,172,521.133316
0.0,213,523.778844
0.5,158,525.863873
2.5,177,528.198435
0.5,168,530.257652
0.5,166,557.400353
2.5,170,559.67816
1.0,162,561.822758
0.5,202,564.457744
0.0,143,566.235913
2.0,162,568.463441
0.5,180,570.790518
2.0,157,572.920423
1.5,191,575.428311
0.0,172,577.72852
0.5,195,580.371484
1.0,176,607.479756
2.5,169,609.863953
0.0,210,612.854977
0.5,185,615.400084
3.5,157,617.440876
0.0,202,620.133165
0.0,206,622.693687
2.0,189,624.982412
2.0,165,627.299142
0.0,158,629.334373
0.0,197,631.852142
2.5,152,633.752877
1.0,150,660.557154
0.5,143,662.601455
0.5,183,664.972845
2.0,136,666.911631
0.5,166,669.074053
3.0,163,671.243877
0.5,172,673.673715
1.0,170,675.850765
5.0,144,677.752294
0.0,168,679.991814
0.0,165,682.171183
0.0,174,684.38666
3.0,181,711.522172
4.0,200,714.187691
0.0,147,716.172769
0.0,202,718.954858
4.5,137,720.71416
2.5,151,722.758232
0.0,141,724.599085
2.0,186,727.076799
2.0,151,728.979289
3.0,173,731.126345
2.5,163,733.292953
0.0,169,735.520107
0.5,173,737.726113
2.5,148,764.622713
1.5,163,766.907757
0.5,160,768.992568
0.0,142,770.873527
3.0,151,772.769714
0.5,146,774.812455
0.0,153,776.888118
0.5,165,779.071236
1.0,171,781.241446
3.0,165,783.410114
2.0,158,785.557397
2.5,142,787.575344
0.5,167,789.794244
0.0,175,817.002958
1.0,168,819.268487
0.0,167,821.504543
0.5,170,823.846597
2.5,183,826.173182
0.5,173,828.402694
0.0,133,830.130193
1.5,119,831.718529
3.0,143,833.579141
0.0,171,835.603977
1.0,123,837.32483
0.5,161,839.395871
0.5,206,866.756786
0.5,158,868.824939
2.0,172,871.196867
5.0,146,873.055691
0.0,174,875.431489
0.0,139,877.154807
2.0,156,879.375319
3.0,146,881.381176
0.0,184,883.780982
0.5,194,886.324163
0.5,127,887.98917
2.5,150,889.875046
0.0,186,892.428636
2.0,189,919.605008
0.0,180,922.039872
1.5,163,924.260679
0.5,214,927.103157
0.0,179,929.486825
2.0,141,931.258818
3.0,173,933.326418
0.5,180,935.555611
3.0,165,937.735609
5.0,127,939.331331
0.0,150,941.359821
0.0,152,943.120436
3.5,135,944.942616
2.5,154,971.808397
0.0,184,974.305922
0.0,162,976.427795
0.5,186,978.913705
3.5,178,981.183545
1.0,166,983.340298
0.5,208,985.945677
1.0,172,988.162696
2.0,188,990.501351
0.0,141,992.422831
1.5,141,994.254343
2.5,132,996.009763
0.0,200,1023.464442
0.0,139,1025.334957
0.0,211,1028.175209
3.0,151,1030.117857
0.0,149,1032.035197
0.0,239,1035.103537
0.5,163,1037.267645
4.0,139,1038.986006
0.0,210,1041.839808
2.0,173,1044.060383
0.0,212,1046.818245
2.5,162,1073.724473
0.5,163,1075.863971
0.5,166,1078.025852
0.0,176,1080.201348
0.5,159,1082.231888
0.5,177,1084.42998
3.5,140,1086.327161
2.5,121,1087.854373
0.0,212,1090.34265
0.0,178,1092.581788
2.0,156,1094.604053
2.5,157,1096.647969
2.5,154,1098.595431
0.5,140,1125.380235
0.5,127,1127.011637
3.0,144,1128.933052
0.5,130,1130.58472
3.5,144,1132.531751
2.5,175,1134.986436
0.5,153,1137.042233
0.0,204,1139.721155
0.5,161,1141.863311
0.5,158,1143.831354
3.0,129,1145.463456
0.0,133,1147.092621
0.0,181,1149.562837
0.0,164,1176.702271
4.0,132,1178.467685
3.0,159,1180.513538
0.0,176,1182.732064
2.0,143,1184.603879
1.0,146,1186.52949
0.5,202,1189.017577
4.5,126,1190.673067
1.5,155,1192.660433
5.0,147,1194.45775
2.5,189,1196.959415
1.0,165,1199.119125
0.0,149,1200.92043
2.0,160,1227.908567
3.5,152,1229.930349
2.0,185,1232.186368
1.0,146,1234.135485
0.0,171,1236.591315
4.0,164,1238.697385
2.5,161,1240.869892
2.5,181,1243.266238
4.0,133,1244.979021
1.0,145,1246.914471
0.0,205,1249.498308
0.0,157,1251.619992
3.5,130,1253.242908
3.0,159,1280.34273
3.0,154,1282.386834
4.0,160,1284.279425
0.5,148,1286.253566
2.5,167,1288.523076
3.5,151,1290.482516
2.5,158,1292.437455
2.5,156,1294.448882
0.5,177,1296.726162
1.0,163,1298.849723
0.5,151,1300.833286
3.0,162,1303.060215
0.5,162,1305.191758
0.5,192,1332.770754
0.0,164,1334.678135
2.5,165,1336.965446
1.5,140,1338.834712
1.0,164,1340.955434
1.5,146,1342.81159
0.5,138,1344.55097
0.5,173,1346.79749
1.0,170,1348.995382
3.5,165,1351.036647
3.5,134,1352.855686
2.0,137,1354.525295
0.0,158,1356.450203
5.0,135,1383.143814
1.0,184,1385.679025
2.5,144,1387.53466
2.5,140,1389.328097
2.5,169,1391.63651
1.0,165,1393.806529
3.0,132,1395.458433
4.0,153,1397.461134
2.0,156,1399.493907
4.0,134,1401.120699
0.0,200,1403.650318
0.0,181,1405.879508
3.0,147,1407.743788
1.5,143,1434.482112
1.5,170,1436.820243
1.0,127,1438.577211
0.5,157,1440.617069
5.0,123,1442.227133
5.0,114,1443.754001
