#{"t_start": 1767525843.8341491, "env_id": "None"}
r,l,t
0.0,153,5.591857
0.0,152,8.59404
2.5,175,12.459727
0.0,174,16.150381
2.0,166,19.281217
0.0,172,22.791389
0.0,174,26.258728
0.0,152,29.583576
0.0,167,32.740483
0.5,150,35.828908
2.5,140,38.477268
3.0,128,40.894614
2.0,132,43.507792
2.5,137,87.244153
0.0,165,90.705686
0.0,158,93.84354
2.0,165,96.827513
2.0,162,99.940892
2.5,170,103.174624
3.5,129,105.65184
2.0,163,108.864776
0.0,150,111.758324
0.0,139,114.442652
1.0,144,117.219918
1.0,141,119.846574
0.5,173,123.292162
3.0,180,168.220113
2.5,146,171.092329
0.0,141,173.566713
0.0,170,176.56755
2.0,157,179.190986
2.0,161,182.293409
0.5,161,185.274192
2.0,172,188.587205
2.0,138,191.039879
2.0,152,193.647607
0.5,184,196.919439
3.0,149,199.728844
2.5,157,202.553418
2.5,151,247.210501
2.0,170,250.112427
2.5,146,252.873415
2.5,152,255.483488
0.0,156,258.33952
0.0,155,261.201809
0.5,147,263.903936
2.5,157,266.712358
0.0,176,270.002331
0.0,166,273.027816
2.0,152,275.903545
0.5,135,278.365435
2.0,155,281.292946
2.0,147,324.781345
2.0,178,327.860844
2.0,151,330.514812
4.0,140,333.008477
2.0,164,335.665764
2.0,151,338.321968
0.5,155,341.310461
2.0,154,344.128388
0.0,161,347.010794
0.5,157,349.738408
1.0,170,352.929653
0.5,147,355.638231
0.5,171,358.688044
0.5,167,402.114374
0.5,144,404.74198
0.0,190,408.102768
0.0,148,410.812332
0.0,195,414.331579
4.0,135,416.894459
4.5,145,419.61667
2.5,151,422.246615
2.0,140,424.676384
3.0,136,427.01353
3.5,142,429.589622
2.0,159,432.434458
2.5,148,435.208922
2.5,145,479.562957
3.0,168,482.658016
0.5,138,485.107052
0.0,160,487.765203
0.0,157,490.657408
2.0,143,493.382979
0.0,146,496.100822
2.0,146,498.74527
1.0,151,501.257901
2.5,148,503.972045
1.0,180,507.10536
2.0,145,509.74164
0.5,179,512.958563
0.0,171,555.705673
2.0,149,558.366685
0.5,138,560.908007
2.0,160,563.766842
2.0,141,566.279127
2.0,153,568.969369
0.5,170,572.031539
0.0,155,574.87509
2.5,150,577.599877
0.0,150,580.235295
2.5,127,582.41528
0.0,154,585.278653
0.0,159,587.973207
0.5,136,590.474513
1.0,135,632.823321
2.0,158,635.495079
3.5,137,637.962156
2.0,148,640.573512
2.0,161,643.512741
0.0,145,646.140316
0.5,162,649.138714
3.0,128,651.590902
3.5,132,654.085808
2.5,161,656.784685
3.0,128,659.04798
2.0,167,662.197701
2.0,169,665.18738
0.5,149,667.857795
2.5,152,710.655068
3.5,142,713.307964
0.0,177,716.366532
0.0,144,718.950461
0.0,177,722.12676
2.0,141,724.61658
0.0,161,727.470198
2.5,138,729.84933
2.5,139,732.366904
1.5,153,735.25755
2.5,156,738.013185
0.5,131,740.430893
0.0,137,742.983695
0.0,169,746.108233
2.5,173,790.328533
2.5,141,793.153996
2.5,148,795.841996
0.0,142,798.418904
0.0,166,801.53459
2.5,151,804.248656
0.5,143,806.802739
0.0,166,809.776557
0.0,150,812.418108
2.0,148,815.075734
0.5,139,817.656357
0.0,156,820.569407
3.5,162,823.518496
0.0,146,864.570666
0.0,158,867.603733
3.5,129,869.978894
2.0,145,872.509218
0.0,148,875.379511
2.0,138,878.088334
0.0,157,880.831555
3.5,134,883.397548
2.0,158,886.094889
4.5,151,888.739644
0.5,142,891.315178
0.0,172,894.478445
1.0,144,897.236732
0.0,157,900.063502
0.0,151,943.117554
2.5,144,945.737156
1.0,163,948.557253
0.5,140,950.999158
0.5,156,953.877789
0.0,140,956.49933
0.5,136,959.114239
2.5,142,961.733865
3.0,144,964.492407
2.0,145,967.204532
0.5,139,969.747641
0.0,140,972.407735
0.5,137,974.815199
2.0,152,977.562072
3.0,140,1019.591081
3.5,129,1021.890751
0.5,158,1024.767301
2.5,159,1027.706681
3.5,141,1030.334253
2.5,140,1032.716619
0.5,141,1035.236835
2.5,133,1037.831499
0.0,159,1040.97995
0.5,138,1043.729575
3.0,128,1046.116915
2.5,153,1048.984938
0.5,166,1052.547904
1.0,131,1054.979595
1.0,133,1096.097754
2.5,137,1098.90551
2.0,161,1101.922786
3.5,134,1104.237286
2.5,148,1106.875919
1.5,128,1109.339288
2.5,138,1111.802843
5.0,127,1114.200275
1.0,134,1116.733933
3.0,121,1119.092902
3.0,142,1121.825869
2.5,121,1123.94667
0.0,138,1126.550164
4.0,152,1129.345273
3.5,143,1131.991204
1.5,151,1172.994102
1.0,141,1175.700701
0.5,152,1178.477805
2.0,145,1181.313607
2.5,168,1184.739952
2.0,150,1187.587188
