#{"t_start": 1767525843.814331, "env_id": "None"}
r,l,t
2.0,153,5.613996
2.0,148,8.526685
0.0,178,12.42046
2.0,165,16.010124
1.0,178,19.366179
2.5,150,22.497882
2.0,150,25.530646
2.0,157,28.779193
2.5,160,32.018124
0.0,160,35.156041
0.0,188,38.75171
0.5,161,41.74068
0.0,152,85.787017
0.0,147,88.811867
0.0,180,92.444211
0.0,132,94.917083
0.0,153,97.754293
0.0,184,101.356402
0.5,168,104.518193
0.0,139,107.213431
0.0,162,110.208097
2.0,161,113.433148
0.0,146,116.296179
2.0,159,119.385472
2.0,137,121.993167
0.5,151,166.462186
0.0,151,169.327103
0.0,151,172.210002
2.5,149,174.792018
0.5,161,177.626694
3.0,143,180.12441
2.5,137,182.900198
0.0,158,185.744391
0.0,164,188.905154
0.0,148,191.563242
0.0,141,193.930535
0.0,152,196.623776
2.0,170,199.774388
3.0,201,245.189707
0.0,137,247.755702
2.5,172,250.830865
2.0,149,253.577923
2.5,135,255.888559
0.0,146,258.533101
2.0,177,261.77914
0.0,149,264.545508
3.5,177,267.657495
3.0,137,270.310904
0.0,184,273.656787
0.0,177,276.954962
0.5,164,279.880156
2.0,177,324.177805
2.5,164,327.137488
0.0,185,330.268315
2.5,136,332.665478
0.0,167,335.377577
2.0,157,338.172099
2.0,159,341.177632
3.0,145,343.835439
0.0,155,346.693915
4.0,162,349.454807
2.0,145,352.211252
2.0,158,355.126437
0.0,179,358.298985
0.5,140,401.275583
2.5,136,403.698533
0.5,169,406.633335
2.5,132,409.055611
0.5,172,412.182389
2.0,143,414.780134
2.5,129,417.198153
0.0,182,420.555098
0.0,182,423.735844
2.0,164,426.555984
2.0,150,429.289665
0.5,150,431.898392
2.0,160,434.961997
2.0,142,478.982847
3.0,131,481.794518
3.0,149,484.456666
3.0,139,486.734814
2.0,150,489.502075
2.0,141,492.0219
0.0,159,495.098292
0.0,185,498.385041
2.5,145,500.792506
2.0,137,503.299644
3.0,133,505.618227
0.5,135,508.022032
2.0,164,511.034493
0.5,153,513.768865
2.0,146,555.975254
2.5,158,558.785296
0.5,138,561.383123
3.0,162,564.22459
0.0,150,566.893141
0.0,157,569.669296
