#{"t_start": 1767525843.6586845, "env_id": "None"}
r,l,t
0.0,155,5.935443
1.5,176,9.499392
2.0,154,12.77656
2.0,156,16.089811
0.0,160,19.104773
2.5,144,21.987185
2.5,138,24.543395
0.5,167,28.143384
0.0,177,31.82154
3.0,147,34.826231
2.0,146,37.471855
0.5,151,40.428658
0.5,156,43.477748
0.5,147,87.494656
0.0,150,90.619455
0.5,136,93.251753
0.5,184,96.709097
0.0,141,99.370085
0.0,141,102.097972
0.0,165,105.297652
0.0,157,108.333906
2.0,169,111.54473
0.5,150,114.473509
0.5,156,117.529516
0.0,152,120.348225
0.0,155,123.428483
0.0,160,167.983521
0.0,152,170.96036
0.0,145,173.564746
0.5,124,175.720092
2.0,156,178.436066
2.0,152,181.093374
0.0,155,184.130144
0.0,155,187.092771
2.5,139,189.71952
3.0,134,192.116407
0.0,175,195.009515
0.0,161,197.934856
1.0,145,200.643863
0.0,183,245.859349
2.0,185,249.093506
3.5,164,252.057942
3.0,145,254.681316
0.0,159,257.461423
0.5,152,260.248187
0.0,156,263.123252
2.5,144,265.751124
0.0,150,268.470893
0.0,156,271.400051
0.0,184,274.838809
2.0,150,277.631576
2.5,148,280.223592
0.5,170,324.385188
3.5,130,326.696721
0.0,153,329.403725
2.0,147,331.916414
0.0,152,334.50975
0.0,162,337.267642
0.0,166,340.346617
2.0,150,343.072717
0.5,163,346.066654
0.0,142,348.60569
2.5,143,351.146274
2.0,159,354.156308
0.0,164,357.106274
3.5,146,359.638856
0.0,167,403.123035
2.5,164,406.043695
2.0,148,408.681686
2.0,168,411.825746
2.0,157,414.567097
2.0,161,417.538131
1.5,133,420.078882
0.0,173,423.14429
2.5,160,425.876656
3.0,152,428.559553
2.0,148,431.230596
2.0,154,434.15632
0.5,164,436.934585
2.5,141,481.465337
0.0,182,484.753821
0.5,178,487.664525
2.0,162,490.602705
0.0,176,493.948709
0.5,135,496.443374
2.0,166,499.351822
0.0,147,501.86604
3.0,142,504.455707
0.5,137,506.950831
3.0,142,509.455926
0.0,146,512.107875
0.0,164,514.977363
0.5,152,557.387571
0.0,165,560.40498
0.0,169,563.528375
2.5,137,565.842153
0.5,182,569.079469
0.5,168,572.118864
0.0,178,575.332827
3.5,135,577.829237
2.0,151,580.47054
0.0,166,583.399255
0.0,138,585.94966
0.5,175,588.963313
2.5,142,591.517928
0.0,178,634.694598
0.5,137,637.071702
2.0,143,639.614119
2.0,143,642.097756
0.0,159,644.926754
2.0,153,647.866205
2.0,146,650.487314
2.5,138,653.109232
2.5,134,655.4695
0.5,177,658.51273
0.0,144,661.148038
2.5,144,663.872411
2.5,157,666.653907
2.5,154,709.462483
2.0,159,712.271955
3.5,135,714.818099
3.0,144,717.260431
0.0,152,719.928584
2.5,150,722.756565
2.5,159,725.545186
2.0,160,728.397412
3.0,138,730.886308
0.5,158,733.634696
2.0,149,736.4336
3.5,145,739.061701
2.5,131,741.304733
0.5,154,744.294743
2.0,158,787.997593
2.0,147,791.050259
3.0,148,793.927538
2.0,148,796.612462
2.0,168,799.706934
0.0,137,802.30988
1.0,160,805.134614
3.5,130,807.477242
0.0,159,810.2785
2.5,167,813.22437
0.0,140,815.688856
4.5,151,818.625958
0.0,180,821.925875
2.0,159,824.656496
0.0,162,866.33067
2.5,150,869.014055
1.5,128,871.308085
2.5,146,874.060126
3.0,126,876.452131
2.0,155,879.317532
0.5,134,881.826743
2.5,149,884.494319
2.5,153,887.071964
0.0,178,890.293928
0.0,145,892.873
3.0,134,895.343804
2.5,150,898.225528
0.5,157,940.964307
2.0,142,943.974294
2.5,133,946.375299
2.0,151,949.017709
0.5,152,951.728685
2.5,158,954.612681
0.5,147,957.438804
3.5,136,959.876044
0.5,146,962.764014
4.0,113,964.862729
3.0,132,967.332805
3.0,135,969.768052
3.0,169,972.982428
1.0,186,976.390618
2.5,135,1018.219055
2.0,145,1020.863715
0.5,141,1023.254112
2.0,150,1026.065464
3.0,127,1028.469297
0.5,152,1031.207217
2.5,152,1033.854602
2.0,150,1036.688596
0.5,174,1040.127079
4.0,126,1042.572026
0.5,121,1044.921395
0.0,147,1047.613657
3.5,146,1050.526279
2.5,146,1053.580461
3.5,135,1056.155567
4.0,145,1097.47763
0.5,139,1100.145764
0.0,150,1103.002074
0.0,149,1105.550505
0.5,147,1108.311293
2.5,151,1111.073796
2.0,156,1113.930745
0.5,140,1116.589111
0.0,143,1119.444946
0.5,145,1122.243178
3.0,133,1124.667285
4.0,137,1127.21846
0.5,158,1130.121027
1.0,137,1132.675891
0.0,168,1174.065063
0.0,144,1176.710712
1.0,136,1179.227258
2.5,136,1181.911515
1.5,131,1184.500989
2.0,168,1187.723716
2.0,153,1190.62356
2.0,148,1193.414759
3.0,137,1196.059522
2.0,157,1198.899179
3.5,130,1201.374622
0.5,138,1204.147655
4.5,126,1206.654845
