#{"t_start": 1767550653.484807, "env_id": "None"}
r,l,t
0.0,194,2.040422
0.5,215,2.840014
3.0,214,3.591987
0.5,189,4.312326
0.0,198,5.168507
0.5,177,5.879766
2.5,187,6.705446
0.5,208,7.501254
1.5,163,8.153459
0.0,225,9.105357
0.5,186,43.272161
3.0,185,49.835618
0.5,201,52.204226
3.5,179,54.212624
1.0,178,56.197412
3.0,173,57.996736
4.0,166,59.941264
4.0,166,61.902515
3.0,188,64.181226
1.0,178,66.069865
0.5,177,68.069311
1.0,166,95.017006
1.0,173,97.532159
4.0,160,99.666708
1.5,189,102.065156
0.0,150,103.838867
0.5,195,106.131119
0.0,210,108.426314
0.5,213,111.013396
1.0,203,113.484145
1.0,166,115.324088
0.5,176,117.235817
1.0,155,119.134963
0.5,187,146.990232
1.5,184,149.425432
0.0,202,151.956801
1.0,198,154.26384
1.0,175,156.313254
4.5,163,158.249934
4.0,196,160.538414
1.5,204,163.00629
0.5,201,165.340643
0.0,198,167.785255
0.0,246,196.151337
1.0,183,198.466334
0.5,180,200.714127
0.0,167,202.711489
3.0,201,205.182591
0.5,177,207.311217
3.0,155,209.134965
2.0,177,211.320376
1.5,175,213.47894
0.5,179,215.657449
0.5,178,217.908981
0.0,183,220.185132
2.5,199,247.880148
0.5,197,250.359358
3.0,220,253.0691
0.0,190,255.360278
0.5,182,257.525153
0.5,184,259.79369
1.0,167,261.73737
0.0,190,264.008526
2.0,167,266.052885
0.0,199,268.583931
0.0,228,296.667509
0.0,171,299.083476
0.0,182,301.577487
0.5,213,304.359488
2.0,186,306.727168
0.0,149,308.5032
0.0,168,310.701782
0.0,167,312.818846
0.0,159,314.733843
2.0,225,317.518389
1.0,133,319.113494
0.5,241,322.295813
2.0,182,349.977891
0.0,201,352.686147
0.5,174,354.96362
1.0,167,357.167438
0.0,198,359.91341
0.5,189,362.348524
1.0,165,364.478813
2.5,156,366.513729
4.0,176,368.821008
4.0,191,371.208253
0.0,208,373.930287
2.0,198,401.768976
0.0,181,404.19232
2.0,165,406.293718
0.5,191,408.863945
0.0,188,411.411066
1.0,176,413.6368
2.0,170,415.824272
0.5,140,417.719877
2.0,157,419.728521
1.0,155,421.757933
2.0,190,424.187891
0.0,209,451.894685
2.5,177,454.268693
2.0,193,456.7847
2.0,176,459.16034
0.0,177,461.486436
0.0,228,464.505339
0.5,174,466.771721
0.0,204,469.534331
0.0,200,472.177931
0.5,175,474.480136
0.5,193,476.905098
2.0,159,503.784962
0.0,140,505.848279
0.5,164,508.000014
0.5,180,510.313945
0.5,185,512.845236
2.5,147,514.797338
0.0,166,517.031912
2.0,181,519.382633
2.5,172,521.658502
0.5,170,523.743749
2.5,186,526.242214
0.5,146,528.155123
0.0,192,555.312844
0.0,210,558.199994
0.0,186,560.745777
0.0,183,563.078856
2.0,170,565.295874
2.5,162,567.383661
0.0,167,569.608377
0.5,158,571.697645
2.5,155,573.785708
0.0,195,576.387014
0.0,197,579.032325
0.0,192,581.646313
0.0,170,608.730445
1.0,178,611.224953
2.5,180,613.722808
2.5,152,615.796913
3.0,140,617.63487
0.0,140,619.492322
2.5,156,621.476879
1.0,162,623.530156
0.5,144,625.272086
0.0,165,627.583286
0.5,182,629.931714
1.5,138,631.648005
2.5,143,633.462898
0.5,216,661.171017
0.0,212,664.037007
0.0,148,666.007167
0.5,147,668.020151
0.5,157,670.134401
0.5,171,672.507485
1.0,150,674.492229
0.5,173,676.793366
3.0,170,679.049728
0.0,172,681.301041
2.0,140,683.13724
0.0,185,685.463673
0.0,160,712.33181
0.0,172,714.700202
3.0,173,717.002354
0.5,164,719.261004
2.5,179,721.624697
2.0,184,724.000626
0.5,194,726.604987
2.0,189,729.012971
0.0,139,730.746998
0.5,185,733.136985
0.0,237,736.312371
2.0,212,763.912832
0.0,152,765.930029
2.5,138,767.89271
0.5,182,770.32088
0.0,154,772.284468
2.5,148,774.246594
0.5,142,776.268327
0.5,194,778.789445
2.5,155,780.817005
1.5,156,782.837153
0.5,164,785.0263
2.5,149,787.167521
0.0,170,789.432305
0.5,199,816.932266
2.0,215,819.795957
2.5,154,821.898986
4.5,119,823.503897
0.5,182,825.864304
0.0,181,828.203821
0.0,208,830.901692
1.0,161,833.000323
3.0,137,834.731496
3.0,152,836.685735
2.0,154,838.701444
1.0,151,840.492016
1.5,147,867.226685
1.0,148,869.268312
0.0,181,871.687105
3.5,162,873.787406
0.5,179,876.139392
0.0,212,879.040394
0.0,161,881.253669
0.5,179,883.559867
0.5,157,885.589313
0.5,158,887.747034
3.0,145,889.568794
2.5,178,891.98459
2.5,137,893.744749
4.0,184,921.025596
2.5,153,923.038637
2.5,134,924.819358
0.5,143,926.718408
2.0,143,928.553619
0.5,222,931.466676
0.0,180,933.614236
2.5,167,935.696084
2.5,185,938.111937
2.0,176,940.427948
3.0,198,942.858728
0.0,155,944.890603
0.0,177,972.038292
1.0,148,974.040275
0.5,174,976.360703
0.0,176,978.712009
0.5,186,981.113009
0.0,152,983.052652
0.0,147,984.927767
0.0,190,987.402159
3.5,142,989.194595
4.0,125,990.711969
0.0,195,993.284405
0.0,191,995.878263
0.5,142,1022.605009
2.5,156,1024.537231
0.0,205,1027.385211
1.5,177,1029.673135
0.0,181,1031.997721
0.5,170,1034.172738
3.0,160,1036.246642
0.5,149,1038.199555
0.0,185,1040.620048
0.0,195,1043.160032
4.0,155,1045.297153
1.5,130,1046.893863
3.5,150,1073.630641
0.5,157,1075.682129
2.0,178,1078.010544
1.0,153,1079.971969
1.0,189,1082.314708
0.5,238,1085.363302
1.5,137,1087.148047
1.5,147,1088.874867
0.0,204,1091.353877
3.0,132,1093.056509
0.0,159,1095.088256
0.5,152,1097.07938
1.0,172,1124.216645
3.0,142,1126.029746
1.0,172,1128.366396
0.0,156,1130.38929
0.5,157,1132.46706
0.0,158,1134.708759
3.0,146,1136.623562
1.5,173,1138.897346
0.5,202,1141.555208
1.0,146,1143.413017
2.5,123,1145.026351
1.0,130,1146.608775
1.0,196,1149.258837
3.5,142,1176.058701
0.0,155,1178.116807
1.0,152,1180.107662
3.5,151,1181.991921
1.0,159,1184.042627
3.5,161,1186.188307
1.0,170,1188.320829
0.5,198,1190.849415
2.0,147,1192.747727
0.5,174,1194.903272
0.0,141,1196.695823
1.0,158,1198.861494
1.0,142,1200.578422
1.0,166,1227.632817
3.0,163,1229.76427
1.0,157,1231.662574
2.5,149,1233.659176
2.5,157,1235.884575
1.0,142,1237.764273
1.0,146,1239.709233
3.0,140,1241.538872
0.5,195,1244.14425
0.5,167,1246.331964
0.5,177,1248.600869
3.5,152,1250.644401
1.5,159,1252.634805
0.5,139,1279.351819
1.5,179,1281.790877
3.5,136,1283.480734
3.0,156,1285.428854
3.5,139,1287.3456
3.0,131,1289.101825
0.0,166,1291.222467
3.0,142,1293.020401
0.0,165,1295.107373
3.5,169,1297.309796
1.5,178,1299.618747
0.5,189,1302.128051
5.0,126,1303.889744
1.0,191,1331.378456
2.0,131,1333.080317
3.0,168,1335.126121
0.5,173,1337.494005
0.0,180,1339.876698
1.0,156,1341.921267
3.5,172,1344.053869
3.0,131,1345.75306
3.5,152,1347.659213
0.5,188,1350.049438
2.0,181,1352.448633
4.0,144,1354.257518
2.5,170,1356.328325
2.5,150,1383.202103
0.5,178,1385.637855
2.0,128,1387.302263
0.5,192,1389.784148
1.0,142,1391.763708
0.5,182,1394.131541
0.5,185,1396.505955
1.5,204,1399.17287
1.0,169,1401.227894
