#{"t_start": 1767550653.4932046, "env_id": "None"}
r,l,t
2.5,216,2.125121
1.5,196,2.858312
1.0,186,3.490061
1.5,164,4.104089
2.0,174,4.814153
0.0,191,5.597546
2.0,240,6.660017
0.0,188,7.387711
0.0,226,8.317078
0.5,178,9.046034
0.0,205,43.747044
1.0,168,49.734434
1.0,166,51.671922
1.0,210,54.047349
0.5,192,56.201937
0.5,190,58.210453
0.5,225,60.745559
3.5,178,63.000611
1.0,187,65.082683
0.5,168,66.938554
1.5,196,69.052473
2.0,151,96.262394
2.0,199,99.001203
4.0,147,100.881183
0.5,132,102.48092
3.5,158,104.344664
0.0,205,106.733156
1.0,188,108.796467
0.5,185,111.06902
1.0,199,113.504771
0.5,237,116.112995
1.0,168,118.028423
4.0,170,145.411365
0.0,198,148.190981
0.5,184,150.498959
1.5,184,152.779906
2.0,175,154.852785
0.0,183,156.931196
0.0,202,159.399055
0.0,221,162.047289
3.5,187,164.197684
2.5,186,166.529687
0.5,183,168.626459
1.0,191,196.456029
0.5,168,198.531054
2.5,187,200.864346
0.0,197,203.241935
3.5,163,205.22254
0.0,183,207.426929
1.0,177,209.485172
0.5,187,211.795798
5.0,128,213.404909
3.0,172,215.509733
1.5,179,217.768775
0.5,175,219.920822
2.5,181,247.400648
1.5,172,249.481206
3.5,163,251.602757
0.0,180,253.77455
0.0,197,256.182055
0.5,159,258.073459
3.0,181,260.259087
1.5,184,262.373991
0.5,226,265.155527
0.5,185,267.464407
0.5,172,269.598423
1.0,187,297.270663
0.0,204,300.161841
0.0,159,302.268425
0.5,181,304.616545
0.5,195,307.134714
4.0,147,308.909119
2.5,188,311.386327
0.5,181,313.613552
0.5,165,315.508393
2.5,156,317.524064
0.0,207,320.12044
1.0,188,347.843721
0.5,216,350.795286
0.0,192,353.270129
0.5,149,355.243864
3.5,175,357.570276
0.0,208,360.398589
0.5,177,362.707846
0.0,194,365.266357
0.0,177,367.523378
0.0,219,370.226971
2.5,143,372.168594
2.0,150,374.120832
0.5,167,401.543344
4.5,135,403.318022
2.5,177,405.624379
0.0,202,408.388925
3.0,170,410.605639
0.5,151,412.654152
0.0,167,414.747231
0.5,186,417.18107
0.0,166,419.339
0.5,218,422.170064
0.0,155,424.159928
2.0,212,451.922625
1.0,186,454.40749
2.5,169,456.578389
0.0,176,458.950036
0.0,188,461.435157
2.5,155,463.510925
0.0,185,465.868598
0.0,157,468.035338
0.0,165,470.254096
0.5,170,472.480983
2.5,160,474.573261
0.0,176,476.753835
1.0,187,504.109734
2.0,167,506.457547
0.0,158,508.663166
0.0,196,511.081084
0.0,187,513.600633
0.0,185,516.096798
2.0,164,518.228298
0.5,188,520.714022
3.0,203,523.285714
0.5,145,525.193306
2.0,158,527.278503
2.5,126,528.76482
0.5,165,555.813283
0.0,183,558.269699
0.5,180,560.708026
0.5,163,562.775376
0.0,174,565.086459
1.0,153,567.024864
1.0,178,569.417615
2.0,182,571.839615
0.5,186,574.281583
2.5,185,576.793012
2.0,154,578.833425
3.5,153,580.913506
0.5,143,607.568618
0.5,163,609.876573
2.0,169,612.321018
0.5,184,614.844781
0.5,173,617.1287
0.0,185,619.540555
3.0,138,621.292512
0.5,177,623.549806
2.0,141,625.249264
3.0,152,627.387718
0.0,175,629.650212
0.0,180,631.941592
0.0,148,633.793367
2.5,135,660.378943
0.5,164,662.742219
2.0,146,664.639621
0.5,180,667.151158
0.5,175,669.390548
2.5,165,671.601305
0.0,178,674.055844
0.0,175,676.367043
0.5,171,678.662757
0.5,173,680.920599
2.0,152,682.90544
1.0,181,685.198752
0.5,182,712.354369
2.0,148,714.352565
0.0,174,716.664157
2.0,169,719.038033
0.0,171,721.237039
2.5,148,723.194873
1.0,179,725.61054
0.0,167,727.777968
1.0,148,729.630241
1.0,189,732.084849
2.0,189,734.598527
2.5,129,736.264129
1.5,145,762.856411
3.0,134,764.80727
0.0,193,767.45381
0.5,177,769.807367
3.0,153,771.755719
0.5,142,773.637947
0.5,174,776.114819
0.5,164,778.283243
0.0,186,780.671321
3.0,174,782.903728
0.0,184,785.35905
0.0,135,787.312346
0.5,174,789.609732
2.0,199,817.108674
0.5,178,819.527377
2.0,160,821.68938
0.0,190,824.278204
2.5,152,826.19832
2.0,150,828.137019
0.0,189,830.581194
0.0,205,833.222811
1.0,168,835.333519
2.5,161,837.523123
2.5,149,839.409934
2.5,164,841.414726
3.0,158,868.242646
0.0,197,871.008959
3.5,147,872.858153
2.0,151,874.868485
2.5,176,877.131224
0.0,160,879.434263
0.0,179,881.862152
0.0,183,884.249779
2.5,150,886.22632
0.0,222,889.044147
0.5,167,891.273804
0.5,185,893.725329
1.0,179,920.949923
0.0,194,923.538255
0.5,152,925.532464
0.0,141,927.392728
0.5,170,929.642651
2.0,159,931.639025
2.0,173,933.712694
1.5,160,935.70014
0.5,178,938.032398
1.0,172,940.305357
0.0,170,942.451855
3.0,146,944.218446
2.5,159,971.1451
0.5,175,973.516721
0.5,151,975.432771
0.5,148,977.524973
4.0,127,979.225172
2.5,133,980.935629
2.5,151,982.837471
1.0,167,984.964113
0.0,174,987.216277
2.5,184,989.541126
0.5,140,991.318542
2.0,155,993.365546
3.0,140,995.256366
0.5,183,1022.511607
3.0,141,1024.283789
3.0,148,1026.397657
2.0,165,1028.514004
0.5,204,1031.138802
3.5,154,1033.079865
2.0,150,1035.04885
0.0,145,1037.005431
3.5,127,1038.571954
2.5,190,1041.133512
3.0,131,1042.764766
0.0,162,1044.958223
0.5,159,1047.004837
0.5,171,1074.007501
0.5,215,1076.800192
0.5,143,1078.666049
2.5,193,1081.109788
0.0,149,1082.923856
2.5,171,1085.151377
0.5,168,1087.333678
0.0,174,1089.347415
2.5,138,1091.075846
3.5,146,1092.944908
4.0,157,1094.952317
3.5,150,1096.91247
1.0,143,1098.72011
3.0,140,1125.511216
3.5,164,1127.686763
3.5,132,1129.412401
3.5,130,1131.024127
0.5,139,1132.921114
2.5,143,1134.972966
3.5,140,1136.847661
1.0,190,1139.286254
1.0,187,1141.809007
0.5,191,1144.219075
0.0,175,1146.393331
0.0,211,1149.239933
2.5,180,1176.57647
4.0,186,1179.054909
3.5,146,1180.886564
0.5,181,1183.139962
0.5,148,1185.162531
1.5,160,1187.203428
2.0,189,1189.595453
0.0,168,1191.738366
1.0,146,1193.569915
3.0,135,1195.276252
0.0,190,1197.850209
0.5,159,1199.832938
1.0,151,1201.636968
0.5,152,1228.539992
0.5,153,1230.55086
3.0,158,1232.520077
0.0,165,1234.742938
3.0,142,1236.835153
3.0,136,1238.510388
3.5,178,1240.920402
2.0,196,1243.536391
2.5,145,1245.332445
0.5,217,1248.197589
0.0,168,1250.454302
0.5,131,1252.083286
2.0,185,1279.458935
0.5,215,1282.353535
3.0,157,1284.212649
1.0,172,1286.510992
1.0,148,1288.520655
0.5,155,1290.525352
0.5,153,1292.425128
1.0,117,1293.941135
1.0,168,1296.042525
1.0,174,1298.346432
3.5,152,1300.312846
0.0,159,1302.437186
1.0,180,1304.88911
3.5,175,1332.186943
0.5,158,1334.146572
3.0,155,1336.276581
0.5,164,1338.392719
2.5,173,1340.666066
2.5,156,1342.64309
0.0,175,1344.840944
2.5,134,1346.638208
0.0,169,1348.792069
3.0,148,1350.607888
1.0,172,1352.917263
1.0,149,1354.741945
3.5,154,1356.593289
2.0,187,1384.034378
0.5,179,1386.414391
1.0,160,1388.466306
4.0,148,1390.408166
0.5,155,1392.499258
3.5,160,1394.562631
1.5,162,1396.721833
3.5,150,1398.650241
1.0,129,1400.286426
1.5,156,1402.188264
0.5,169,1404.276731
3.5,143,1406.12105
2.5,157,1408.112693
1.0,164,1435.220806
0.5,184,1437.687787
0.5,147,1439.648613
3.5,166,1441.825503
4.5,133,1443.612788
0.5,190,1446.117738
1.0,170,1448.393389
0.5,188,1450.725181
3.5,133,1452.444565
0.5,147,1454.170363
4.0,140,1456.046564
1.0,167,1458.201891
0.5,183,1485.625238
3.5,136,1487.43609
0.5,186,1489.776631
1.0,162,1492.019003
3.5,137,1493.748191
4.0,151,1495.572077
0.5,155,1497.641817
3.0,144,1499.527562
0.0,186,1502.064697
5.0,143,1503.909081
0.0,201,1506.418847
1.5,172,1508.53158
1.5,148,1510.291071
2.5,144,1537.332763
0.5,247,1540.660609
0.0,176,1543.098653
3.5,143,1544.971689
3.5,139,1546.67281
3.0,179,1548.970091
4.5,109,1550.381084
4.5,121,1552.043267
3.0,138,1554.007719
1.5,195,1556.532431
1.0,197,1559.0654
1.0,158,1561.071864
2.5,198,1588.692852
3.0,163,1590.876344
3.0,155,1592.844518
3.5,146,1594.752284
1.0,183,1597.144954
4.5,124,1598.57051
0.5,191,1600.861212
2.5,153,1602.788407
2.5,161,1604.929086
2.0,144,1606.839178
0.0,164,1608.929823
0.0,139,1610.574772
1.0,170,1612.717481
3.5,153,1639.665456
1.0,178,1641.965199
0.0,185,1644.233737
0.0,172,1646.43185
0.0,180,1648.662002
3.5,129,1650.220076
2.5,155,1652.11865
3.5,138,1653.935403
1.5,173,1656.074159
2.5,156,1658.067815
1.5,148,1659.847805
3.5,154,1661.818153
1.0,171,1664.180738
0.5,161,1691.350905
0.0,152,1693.318724
0.0,171,1695.461645
0.5,181,1697.728897
4.0,154,1699.628532
3.0,152,1701.513798
1.0,175,1703.637136
2.5,158,1705.601573
3.0,164,1707.746369
0.5,131,1709.360785
3.5,134,1711.025312
0.0,163,1713.188876
5.0,155,1715.254458
0.0,144,1742.327471
3.0,151,1744.381841
1.0,180,1746.723703
