#{"t_start": 1767636136.2094233, "env_id": "None"}
r,l,t
-56.232,191,2.147706
-33.43,165,2.757783
-33.656,204,3.588876
-78.497,181,4.285006
-28.334,224,5.295952
-67.0,208,6.211704
-52.309,199,7.15725
-68.438,218,8.147478
-64.969,179,8.951865
-51.173,147,9.613803
-59.692,179,38.473996
-192.283,199,50.394188
-70.949,164,52.462114
-124.428,177,54.760656
-179.237,180,57.129793
-129.695,179,59.488341
-33.698,140,61.240472
-174.343,169,63.342331
-95.878,160,65.514235
-116.929,195,67.847977
-105.576,222,70.849735
-52.332,166,73.009526
-128.318,192,101.260664
-68.203,143,103.197941
-32.198,160,105.385694
-77.404,189,107.880049
-155.227,196,110.410668
-90.57,210,113.061033
-74.669,214,115.659739
-107.95,191,118.076798
-125.865,179,120.330444
-189.372,198,122.919368
-58.115,192,125.487048
-27.9,171,153.302247
-107.842,157,155.619877
-95.034,190,158.068371
-61.634,205,160.789617
-78.94,167,163.006149
-164.772,188,165.197167
-133.22,200,167.669416
-153.639,204,170.273935
-56.51,233,173.219158
-80.707,164,175.22392
-127.436,208,203.339196
-85.217,214,206.208574
-83.819,199,208.699405
-85.99,148,210.666464
-105.807,177,212.766127
-49.696,215,215.316687
-47.694,151,217.208266
-129.335,208,219.931689
-126.255,191,222.215345
-83.316,178,224.407462
-118.65,180,226.593742
-55.459,150,228.340143
-71.534,196,256.315743
-174.653,190,258.868487
-100.393,185,261.155512
-105.31,189,263.378007
-157.418,208,265.92475
-44.322,174,267.971874
-77.815,167,270.006152
-113.039,208,272.506327
-116.645,179,274.479266
-85.868,194,276.76511
